shell_cutoff,shell_cutoff_distance_ang,cluster_size,weighted_configs_with_cluster,weighted_mean_cluster_count,presence_delta_eV,slope_eV_per_cluster,weighted_corr
1,3.061700497795151,2,176,0.08695652173913043,0.1155611761646469,0.1265670024675232,0.34428304098010637
1,3.061700497795151,3,0,0.0,nan,nan,nan
1,3.061700497795151,4,0,0.0,nan,nan,nan
2,3.068717600000001,2,320,0.15810276679841898,0.10674039941523006,0.12678554484625773,0.44654717272329175
2,3.068717600000001,3,16,0.007905138339920948,0.28456555616503465,0.28683301079679924,0.24522164163122454
2,3.068717600000001,4,0,0.0,nan,nan,nan
3,3.0716043662158445,2,432,0.2134387351778656,0.07350347820147363,0.09344914565513164,0.36963795484968825
3,3.0716043662158445,3,48,0.023715415019762844,0.21336118116460057,0.2185440438664042,0.3210264985942158
3,3.0716043662158445,4,0,0.0,nan,nan,nan
