        T             E               F          S             
       1.0      -1544.4111      -1544.4111  0.000000E+00
     300.0      -1544.4111      -1544.4111  0.000000E+00
    1000.0      -1544.4111      -1544.4111  0.000000E+00
  Infinite      -1544.4111         -        0.000000E+00
