        T             E               F          S             
       1.0      -3075.2187      -3075.2188  0.597308E-04
     300.0      -3075.1774      -3075.2787  0.337434E-03
    1000.0      -3075.1152      -3075.5759  0.460707E-03
  Infinite      -3075.0632         -        0.484329E-03
