 Configuration with minimum energy:            3
 Configuration with maximum energy:           17

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         2         2  0.747066E-01      0.0072      0.0036
         3         2  0.000000E+00      0.0072      0.0036
         4         4  0.147667E+00      0.0145      0.0036
         5         4  0.237124E+00      0.0145      0.0036
         6         4  0.126550E+00      0.0145      0.0036
         7         4  0.963418E-01      0.0145      0.0036
         8         8  0.235939E+00      0.0290      0.0036
         9         8  0.900148E-01      0.0290      0.0036
        10         8  0.348575E-01      0.0290      0.0036
        11         8  0.316073E-01      0.0290      0.0036
        12         8  0.111218E+00      0.0290      0.0036
        13         8  0.115022E+00      0.0290      0.0036
        14         8  0.104746E+00      0.0290      0.0036
        15         8  0.874347E-01      0.0290      0.0036
        16         2  0.243286E+00      0.0072      0.0036
        17         2  0.380496E+00      0.0072      0.0036
        18         2  0.222685E+00      0.0072      0.0036
        19         8  0.194282E+00      0.0290      0.0036
        20         8  0.178308E+00      0.0290      0.0036
        21         8  0.151766E+00      0.0290      0.0036
        22         8  0.138295E+00      0.0290      0.0036
        23         8  0.379448E+00      0.0290      0.0036
        24         8  0.201460E+00      0.0290      0.0036
        25         8  0.220425E+00      0.0290      0.0036
        26         8  0.204308E+00      0.0290      0.0036
        27         4  0.125323E+00      0.0145      0.0036
        28         4  0.665568E-01      0.0145      0.0036
        29         4  0.547377E-01      0.0145      0.0036
        30         4  0.904222E-01      0.0145      0.0036
        31         4  0.746526E-01      0.0145      0.0036
        32         4  0.273165E+00      0.0145      0.0036
        33         4  0.198780E+00      0.0145      0.0036
        34         8  0.130169E+00      0.0290      0.0036
        35         8  0.139348E+00      0.0290      0.0036
        36         8  0.134339E+00      0.0290      0.0036
        37         8  0.144263E+00      0.0290      0.0036
        38         8  0.969281E-01      0.0290      0.0036
        39         8  0.209371E+00      0.0290      0.0036
        40         8  0.137051E+00      0.0290      0.0036
        41         8  0.135962E+00      0.0290      0.0036
        42         4  0.191834E+00      0.0145      0.0036
        43         4  0.202714E+00      0.0145      0.0036
        44         4  0.145905E+00      0.0145      0.0036
        45         4  0.184696E+00      0.0145      0.0036
        46         4  0.189798E+00      0.0145      0.0036
        47         4  0.352901E+00      0.0145      0.0036
        48         4  0.290227E+00      0.0145      0.0036
