        T             E               F          S             
       1.0      -1474.2575      -1474.2575  0.597308E-04
     300.0      -1474.2499      -1474.2973  0.158145E-03
    1000.0      -1474.1663      -1474.4530  0.286770E-03
  Infinite      -1474.0192         -        0.361037E-03
