cutoff_distance_ang,cluster_size,weighted_configs_with_cluster,weighted_mean_cluster_count,presence_delta_eV,slope_eV_per_cluster,weighted_corr
3.2,2,4067,0.39986824769433466,0.09619709821527067,0.15178561003972244,0.540452474569403
3.2,3,184,0.017316017316017316,0.3942233943944302,0.4011700621346641,0.3558192958840984
3.2,4,0,0.0,nan,nan,nan
3.3000000000000003,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.3000000000000003,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.3000000000000003,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
3.4000000000000004,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.4000000000000004,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.4000000000000004,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
3.5000000000000004,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.5000000000000004,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.5000000000000004,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
3.6,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.6,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.6,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
3.7,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.7,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.7,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
3.8000000000000003,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.8000000000000003,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.8000000000000003,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
3.9000000000000004,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
3.9000000000000004,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
3.9000000000000004,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
4.0,2,5492,0.5782044042913608,0.00764362842483024,0.032229367832914656,0.1326841963063684
4.0,3,1832,0.17240730284208544,0.13871843154902308,0.16761679026930687,0.43050054893627415
4.0,4,366,0.034443817052512704,0.3094801265733622,0.3205200609103809,0.39743825188870285
