        T             E               F          S             
       1.0      -2926.1578      -2926.1580  0.208852E-03
     300.0      -2926.1546      -2926.2309  0.254254E-03
    1000.0      -2926.1462      -2926.4168  0.270621E-03
  Infinite      -2926.1394         -        0.273864E-03
