        T             E               F          S             
       1.0      -1488.8983      -1488.8985  0.119462E-03
     300.0      -1488.8852      -1488.9485  0.211095E-03
    1000.0      -1488.7571      -1489.1843  0.427260E-03
  Infinite      -1488.5058         -        0.534668E-03
