 Configuration with minimum energy:           27
 Configuration with maximum energy:           82

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.605285E+00      0.0000      0.0000
         2         4  0.398743E+00      0.0000      0.0000
         3         4  0.403659E+00      0.0000      0.0000
         4         4  0.301927E+00      0.0000      0.0000
         5         4  0.425325E+00      0.0000      0.0000
         6         4  0.203112E+00      0.0000      0.0000
         7         4  0.399108E+00      0.0000      0.0000
         8         4  0.338233E+00      0.0000      0.0000
         9         4  0.584382E+00      0.0000      0.0000
        10         2  0.551419E+00      0.0000      0.0000
        11         4  0.317310E+00      0.0000      0.0000
        12         4  0.607178E+00      0.0000      0.0000
        13         4  0.287868E+00      0.0000      0.0000
        14         4  0.423310E+00      0.0000      0.0000
        15         4  0.371923E+00      0.0000      0.0000
        16         4  0.381574E+00      0.0000      0.0000
        17         2  0.264306E+00      0.0000      0.0000
        18         4  0.421154E+00      0.0000      0.0000
        19         4  0.166046E+00      0.0000      0.0000
        20         4  0.388978E+00      0.0000      0.0000
        21         4  0.292193E+00      0.0000      0.0000
        22         2  0.226960E+00      0.0000      0.0000
        23         4  0.446754E+00      0.0000      0.0000
        24         4  0.168217E+00      0.0000      0.0000
        25         2  0.451221E+00      0.0000      0.0000
        26         4  0.217655E+00      0.0000      0.0000
        27         2  0.000000E+00      1.0000      0.5000
        28         4  0.413195E+00      0.0000      0.0000
        29         4  0.252417E-01      0.0000      0.0000
        30         4  0.237773E+00      0.0000      0.0000
        31         4  0.195391E+00      0.0000      0.0000
        32         4  0.179669E+00      0.0000      0.0000
        33         2  0.289499E+00      0.0000      0.0000
        34         4  0.341428E+00      0.0000      0.0000
        35         4  0.227659E+00      0.0000      0.0000
        36         4  0.284973E+00      0.0000      0.0000
        37         4  0.368525E+00      0.0000      0.0000
        38         2  0.142054E+00      0.0000      0.0000
        39         4  0.207569E+00      0.0000      0.0000
        40         4  0.144142E+00      0.0000      0.0000
        41         2  0.347715E+00      0.0000      0.0000
        42         4  0.539761E+00      0.0000      0.0000
        43         4  0.364581E+00      0.0000      0.0000
        44         2  0.779632E+00      0.0000      0.0000
        45         4  0.464485E+00      0.0000      0.0000
        46         4  0.418935E+00      0.0000      0.0000
        47         4  0.544716E+00      0.0000      0.0000
        48         4  0.258910E+00      0.0000      0.0000
        49         2  0.762630E+00      0.0000      0.0000
        50         4  0.646428E+00      0.0000      0.0000
        51         4  0.298135E+00      0.0000      0.0000
        52         4  0.659536E+00      0.0000      0.0000
        53         4  0.312217E+00      0.0000      0.0000
        54         2  0.322938E+00      0.0000      0.0000
        55         2  0.742453E+00      0.0000      0.0000
        56         2  0.226165E+00      0.0000      0.0000
        57         2  0.464805E+00      0.0000      0.0000
        58         2  0.273105E+00      0.0000      0.0000
        59         2  0.601350E+00      0.0000      0.0000
        60         4  0.432179E+00      0.0000      0.0000
        61         4  0.621696E+00      0.0000      0.0000
        62         4  0.524985E+00      0.0000      0.0000
        63         4  0.406162E+00      0.0000      0.0000
        64         4  0.422685E+00      0.0000      0.0000
        65         4  0.243081E+00      0.0000      0.0000
        66         4  0.306268E+00      0.0000      0.0000
        67         4  0.362396E+00      0.0000      0.0000
        68         4  0.187432E+00      0.0000      0.0000
        69         4  0.173126E+00      0.0000      0.0000
        70         4  0.714409E-02      0.0000      0.0000
        71         4  0.388494E+00      0.0000      0.0000
        72         4  0.656964E+00      0.0000      0.0000
        73         4  0.501666E+00      0.0000      0.0000
        74         4  0.353108E+00      0.0000      0.0000
        75         4  0.382938E+00      0.0000      0.0000
        76         4  0.325312E+00      0.0000      0.0000
        77         4  0.983953E-01      0.0000      0.0000
        78         4  0.338846E+00      0.0000      0.0000
        79         4  0.330266E+00      0.0000      0.0000
        80         4  0.289593E+00      0.0000      0.0000
        81         4  0.467246E+00      0.0000      0.0000
        82         4  0.866856E+00      0.0000      0.0000
        83         4  0.429040E+00      0.0000      0.0000
        84         4  0.700702E+00      0.0000      0.0000
        85         4  0.407658E+00      0.0000      0.0000
        86         4  0.362897E+00      0.0000      0.0000
        87         4  0.326533E+00      0.0000      0.0000
        88         4  0.316956E+00      0.0000      0.0000
        89         4  0.194278E+00      0.0000      0.0000
        90         4  0.413146E+00      0.0000      0.0000
        91         4  0.675162E+00      0.0000      0.0000
        92         4  0.319682E+00      0.0000      0.0000
        93         4  0.303602E+00      0.0000      0.0000
        94         4  0.217368E+00      0.0000      0.0000
        95         4  0.365271E+00      0.0000      0.0000
        96         4  0.400498E+00      0.0000      0.0000
        97         4  0.268062E+00      0.0000      0.0000
        98         4  0.398050E+00      0.0000      0.0000
        99         4  0.109570E+00      0.0000      0.0000
       100         4  0.389607E+00      0.0000      0.0000
       101         4  0.592639E+00      0.0000      0.0000
       102         4  0.242916E+00      0.0000      0.0000
       103         4  0.258301E+00      0.0000      0.0000
       104         4  0.983023E-01      0.0000      0.0000
       105         4  0.335304E+00      0.0000      0.0000
       106         4  0.315536E+00      0.0000      0.0000
       107         4  0.420625E+00      0.0000      0.0000
       108         4  0.555535E-01      0.0000      0.0000
       109         4  0.301868E+00      0.0000      0.0000
       110         4  0.435420E+00      0.0000      0.0000
       111         4  0.249350E+00      0.0000      0.0000
       112         4  0.386264E+00      0.0000      0.0000
       113         4  0.158030E+00      0.0000      0.0000
       114         4  0.362577E+00      0.0000      0.0000
       115         4  0.314296E+00      0.0000      0.0000
       116         1  0.614099E+00      0.0000      0.0000
       117         4  0.701300E+00      0.0000      0.0000
       118         4  0.541862E+00      0.0000      0.0000
       119         4  0.401090E+00      0.0000      0.0000
       120         4  0.381325E+00      0.0000      0.0000
       121         2  0.582190E+00      0.0000      0.0000
       122         4  0.438996E+00      0.0000      0.0000
       123         4  0.208460E+00      0.0000      0.0000
       124         2  0.116671E+00      0.0000      0.0000
       125         2  0.491875E+00      0.0000      0.0000
       126         4  0.305413E+00      0.0000      0.0000
       127         4  0.141876E+00      0.0000      0.0000
       128         2  0.804706E-01      0.0000      0.0000
       129         2  0.702439E+00      0.0000      0.0000
       130         2  0.325279E+00      0.0000      0.0000
       131         2  0.296489E+00      0.0000      0.0000
       132         2  0.642838E+00      0.0000      0.0000
       133         2  0.749059E+00      0.0000      0.0000
       134         2  0.287013E+00      0.0000      0.0000
       135         4  0.321157E+00      0.0000      0.0000
       136         4  0.511475E+00      0.0000      0.0000
       137         4  0.182462E+00      0.0000      0.0000
       138         4  0.342868E+00      0.0000      0.0000
       139         1  0.308553E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.605285E+00      0.0000      0.0000
         2         4  0.398743E+00      0.0000      0.0000
         3         4  0.403659E+00      0.0000      0.0000
         4         4  0.301927E+00      0.0000      0.0000
         5         4  0.425325E+00      0.0000      0.0000
         6         4  0.203112E+00      0.0002      0.0001
         7         4  0.399108E+00      0.0000      0.0000
         8         4  0.338233E+00      0.0000      0.0000
         9         4  0.584382E+00      0.0000      0.0000
        10         2  0.551419E+00      0.0000      0.0000
        11         4  0.317310E+00      0.0000      0.0000
        12         4  0.607178E+00      0.0000      0.0000
        13         4  0.287868E+00      0.0000      0.0000
        14         4  0.423310E+00      0.0000      0.0000
        15         4  0.371923E+00      0.0000      0.0000
        16         4  0.381574E+00      0.0000      0.0000
        17         2  0.264306E+00      0.0000      0.0000
        18         4  0.421154E+00      0.0000      0.0000
        19         4  0.166046E+00      0.0009      0.0002
        20         4  0.388978E+00      0.0000      0.0000
        21         4  0.292193E+00      0.0000      0.0000
        22         2  0.226960E+00      0.0000      0.0000
        23         4  0.446754E+00      0.0000      0.0000
        24         4  0.168217E+00      0.0008      0.0002
        25         2  0.451221E+00      0.0000      0.0000
        26         4  0.217655E+00      0.0001      0.0000
        27         2  0.000000E+00      0.2687      0.1343
        28         4  0.413195E+00      0.0000      0.0000
        29         4  0.252417E-01      0.2024      0.0506
        30         4  0.237773E+00      0.0001      0.0000
        31         4  0.195391E+00      0.0003      0.0001
        32         4  0.179669E+00      0.0005      0.0001
