        T             E               F          S             
       1.0      -1517.2303      -1517.2304  0.597308E-04
     300.0      -1517.2123      -1517.2822  0.233054E-03
    1000.0      -1517.0907      -1517.5259  0.435232E-03
  Infinite      -1516.8690         -        0.534668E-03
