        T             E               F          S             
       1.0      -1459.3822      -1459.3822  0.000000E+00
     300.0      -1459.3822      -1459.3822  0.000000E+00
    1000.0      -1459.3822      -1459.3822  0.000000E+00
  Infinite      -1459.3822         -        0.000000E+00
