        T             E               F          S             
       1.0      -1530.8600      -1530.8601  0.597308E-04
     300.0      -1530.8346      -1530.9144  0.266236E-03
    1000.0      -1530.7963      -1531.1343  0.338010E-03
  Infinite      -1530.7425         -        0.361037E-03
