 Configuration with minimum energy:           21
 Configuration with maximum energy:           14

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.101152E+00      0.0000      0.0000
         2         2  0.152907E-01      0.0000      0.0000
         3         2  0.264747E+00      0.0000      0.0000
         4         4  0.112734E+00      0.0000      0.0000
         5         4  0.180657E+00      0.0000      0.0000
         6         4  0.106567E+00      0.0000      0.0000
         7         4  0.721924E-01      0.0000      0.0000
         8         4  0.117171E+00      0.0000      0.0000
         9         4  0.276057E-01      0.0000      0.0000
        10         4  0.219577E+00      0.0000      0.0000
        11         4  0.266001E-01      0.0000      0.0000
        12         2  0.114642E+00      0.0000      0.0000
        13         2  0.509407E-01      0.0000      0.0000
        14         2  0.326556E+00      0.0000      0.0000
        15         4  0.914514E-01      0.0000      0.0000
        16         4  0.268825E+00      0.0000      0.0000
        17         4  0.285480E-01      0.0000      0.0000
        18         4  0.108303E+00      0.0000      0.0000
        19         1  0.129217E+00      0.0000      0.0000
        20         2  0.173732E+00      0.0000      0.0000
        21         2  0.000000E+00      1.0000      0.5000
        22         1  0.955443E-01      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.101152E+00      0.0049      0.0024
         2         2  0.152907E-01      0.1350      0.0675
         3         2  0.264747E+00      0.0000      0.0000
         4         4  0.112734E+00      0.0062      0.0016
         5         4  0.180657E+00      0.0005      0.0001
         6         4  0.106567E+00      0.0079      0.0020
         7         4  0.721924E-01      0.0299      0.0075
         8         4  0.117171E+00      0.0052      0.0013
         9         4  0.276057E-01      0.1677      0.0419
        10         4  0.219577E+00      0.0001      0.0000
        11         4  0.266001E-01      0.1743      0.0436
        12         2  0.114642E+00      0.0029      0.0014
        13         2  0.509407E-01      0.0340      0.0170
        14         2  0.326556E+00      0.0000      0.0000
        15         4  0.914514E-01      0.0142      0.0035
        16         4  0.268825E+00      0.0000      0.0000
        17         4  0.285480E-01      0.1617      0.0404
        18         4  0.108303E+00      0.0074      0.0018
        19         1  0.129217E+00      0.0008      0.0008
        20         2  0.173732E+00      0.0003      0.0001
        21         2  0.000000E+00      0.2439      0.1220
        22         1  0.955443E-01      0.0030      0.0030


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.101152E+00      0.0257      0.0128
         2         2  0.152907E-01      0.0695      0.0347
         3         2  0.264747E+00      0.0038      0.0019
         4         4  0.112734E+00      0.0449      0.0112
         5         4  0.180657E+00      0.0204      0.0051
         6         4  0.106567E+00      0.0482      0.0120
         7         4  0.721924E-01      0.0718      0.0180
         8         4  0.117171E+00      0.0426      0.0107
         9         4  0.276057E-01      0.1205      0.0301
        10         4  0.219577E+00      0.0130      0.0032
        11         4  0.266001E-01      0.1219      0.0305
        12         2  0.114642E+00      0.0219      0.0110
        13         2  0.509407E-01      0.0459      0.0230
        14         2  0.326556E+00      0.0019      0.0009
        15         4  0.914514E-01      0.0574      0.0144
        16         4  0.268825E+00      0.0073      0.0018
        17         4  0.285480E-01      0.1192      0.0298
        18         4  0.108303E+00      0.0472      0.0118
        19         1  0.129217E+00      0.0093      0.0093
        20         2  0.173732E+00      0.0111      0.0055
        21         2  0.000000E+00      0.0830      0.0415
        22         1  0.955443E-01      0.0137      0.0137


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.101152E+00      0.0303      0.0152
         2         2  0.152907E-01      0.0303      0.0152
         3         2  0.264747E+00      0.0303      0.0152
         4         4  0.112734E+00      0.0606      0.0152
         5         4  0.180657E+00      0.0606      0.0152
         6         4  0.106567E+00      0.0606      0.0152
         7         4  0.721924E-01      0.0606      0.0152
         8         4  0.117171E+00      0.0606      0.0152
         9         4  0.276057E-01      0.0606      0.0152
        10         4  0.219577E+00      0.0606      0.0152
        11         4  0.266001E-01      0.0606      0.0152
        12         2  0.114642E+00      0.0303      0.0152
        13         2  0.509407E-01      0.0303      0.0152
        14         2  0.326556E+00      0.0303      0.0152
        15         4  0.914514E-01      0.0606      0.0152
        16         4  0.268825E+00      0.0606      0.0152
        17         4  0.285480E-01      0.0606      0.0152
        18         4  0.108303E+00      0.0606      0.0152
        19         1  0.129217E+00      0.0152      0.0152
        20         2  0.173732E+00      0.0303      0.0152
        21         2  0.000000E+00      0.0303      0.0152
        22         1  0.955443E-01      0.0152      0.0152
