LAMMPS data file generated by SOD - configuration 00001
 
120 atoms
48 bonds
144 angles
4 atom types
1 bond types
1 angle types
 
      0.000000       10.055564  xlo xhi
      0.000000        8.708374  ylo yhi
      0.000000       11.037836  zlo zhi
     -5.027782        0.000000        0.000000  xy xz yz
 
Atoms  # full
 
1  0  2    0.0000       -1.199855        2.078210        1.839639
2  0  2    0.0000       -1.199855        2.078210        7.358557
3  0  2    0.0000       -3.713746        6.432397        1.839639
4  0  2    0.0000       -3.713746        6.432397        7.358557
5  0  2    0.0000        3.827927        2.078210        1.839639
6  0  2    0.0000        3.827927        2.078210        7.358557
7  0  2    0.0000        1.314036        6.432397        1.839639
8  0  2    0.0000        1.314036        6.432397        7.358557
9  0  2    0.0000        1.314036        2.275977        0.000002
10  0  2    0.0000        1.314036        2.275977        5.518920
11  0  2    0.0000       -1.199855        6.630164        0.000002
12  0  2    0.0000       -1.199855        6.630164        5.518920
13  0  2    0.0000        6.341818        2.275977        0.000002
14  0  2    0.0000        6.341818        2.275977        5.518920
15  0  2    0.0000        3.827927        6.630164        0.000002
16  0  2    0.0000        3.827927        6.630164        5.518920
17  0  2    0.0000        2.399710        0.000000        3.679277
18  0  2    0.0000        2.399710        0.000000        9.198195
19  0  2    0.0000       -0.114181        4.354187        3.679277
20  0  2    0.0000       -0.114181        4.354187        9.198195
21  0  2    0.0000        7.427492        0.000000        3.679277
22  0  2    0.0000        7.427492        0.000000        9.198195
23  0  2    0.0000        4.913601        4.354187        3.679277
24  0  2    0.0000        4.913601        4.354187        9.198195
25  1  3    0.0000       -1.066450        3.246930        2.965500
26  1  4    0.0000       -1.066450        3.246930        2.965500
27  2  3    0.0000       -1.066450        3.246930        8.484418
28  2  4    0.0000       -1.066450        3.246930        8.484418
29  3  3    0.0000       -3.580341        7.601117        2.965500
30  3  4    0.0000       -3.580341        7.601117        2.965500
31  4  3    0.0000       -3.580341        7.601117        8.484418
32  4  4    0.0000       -3.580341        7.601117        8.484418
33  5  3    0.0000        3.961332        3.246930        2.965500
34  5  4    0.0000        3.961332        3.246930        2.965500
35  6  3    0.0000        3.961332        3.246930        8.484418
36  6  4    0.0000        3.961332        3.246930        8.484418
37  7  3    0.0000        1.447441        7.601117        2.965500
38  7  4    0.0000        1.447441        7.601117        2.965500
39  8  3    0.0000        1.447441        7.601117        8.484418
40  8  4    0.0000        1.447441        7.601117        8.484418
41  9  3    0.0000        0.235192        1.807149        1.125863
42  9  4    0.0000        0.235192        1.807149        1.125863
43  10  3    0.0000        0.235192        1.807149        6.644781
44  10  4    0.0000        0.235192        1.807149        6.644781
45  11  3    0.0000       -2.278699        6.161336        1.125863
46  11  4    0.0000       -2.278699        6.161336        1.125863
47  12  3    0.0000       -2.278699        6.161336        6.644781
48  12  4    0.0000       -2.278699        6.161336        6.644781
49  13  3    0.0000        5.262974        1.807149        1.125863
50  13  4    0.0000        5.262974        1.807149        1.125863
51  14  3    0.0000        5.262974        1.807149        6.644781
52  14  4    0.0000        5.262974        1.807149        6.644781
53  15  3    0.0000        2.749083        6.161336        1.125863
54  15  4    0.0000        2.749083        6.161336        1.125863
55  16  3    0.0000        2.749083        6.161336        6.644781
56  16  4    0.0000        2.749083        6.161336        6.644781
57  17  3    0.0000        0.831258        3.654295        4.805138
58  17  4    0.0000        0.831258        3.654295        4.805138
59  18  3    0.0000        0.831258        3.654295       10.324056
60  18  4    0.0000        0.831258        3.654295       10.324056
61  19  3    0.0000       -1.682633        8.008482        4.805138
62  19  4    0.0000       -1.682633        8.008482        4.805138
63  20  3    0.0000       -1.682633        8.008482       10.324056
64  20  4    0.0000       -1.682633        8.008482       10.324056
65  21  3    0.0000        5.859040        3.654295        4.805138
66  21  4    0.0000        5.859040        3.654295        4.805138
67  22  3    0.0000        5.859040        3.654295       10.324056
68  22  4    0.0000        5.859040        3.654295       10.324056
69  23  3    0.0000        3.345149        8.008482        4.805138
70  23  4    0.0000        3.345149        8.008482        4.805138
71  24  3    0.0000        3.345149        8.008482       10.324056
72  24  4    0.0000        3.345149        8.008482       10.324056
73  25  3    0.0000        3.345149        0.699892        2.553418
74  25  4    0.0000        3.345149        0.699892        2.553418
75  26  3    0.0000        3.345149        0.699892        8.072336
76  26  4    0.0000        3.345149        0.699892        8.072336
77  27  3    0.0000        0.831258        5.054079        2.553418
78  27  4    0.0000        0.831258        5.054079        2.553418
79  28  3    0.0000        0.831258        5.054079        8.072336
80  28  4    0.0000        0.831258        5.054079        8.072336
81  29  3    0.0000        8.372931        0.699892        2.553418
