#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -3045.5185148795;  -3033.5912407100;  -3217.1748439701
2;1;  -3046.5112538341;  -3033.0999382400;  -3239.5257825901
3;2;  -3046.7756864965;  -3033.5886023300;  -3236.5630953599
4;3;  -3046.9445984798;  -3033.4748575900;  -3240.7999791895
5;5;  -3048.5269995705;  -3033.4839447800;  -3265.0253819295
6;21;  -3048.3435487233;  -3033.6714543100;  -3259.5031004598
7;23;  -3048.6777086859;  -3033.4649625800;  -3267.6182742194
8;37;  -3049.5683749869;  -3033.6113328200;  -3279.2207869798
9;38;  -3049.8370439268;  -3033.7756737600;  -3280.9909357401
10;55;  -3044.8790571242;  -3032.9603535400;  -3216.4120390703
11;56;  -3047.8490591129;  -3033.6499567400;  -3252.2013490903
12;57;  -3047.9028159050;  -3033.7728739500;  -3251.2597549501
13;58;  -3048.5531913173;  -3033.9929015500;  -3258.1036599698
14;59;  -3050.0129122246;  -3034.1469883000;  -3278.3539581201
15;75;  -3049.8889624672;  -3033.7394917500;  -3282.3107900098
16;83;  -3050.3337130658;  -3034.1773104800;  -3282.8553034802
17;84;  -3049.8545278415;  -3034.0265105300;  -3277.6500249404
18;102;  -3049.8784212787;  -3034.1416474500;  -3276.3607498304
19;109;  -3049.7987291250;  -3034.1524869300;  -3274.9781340000
20;114;  -3049.9462189458;  -3034.1882803200;  -3276.7331494801
21;115;  -3050.1700468573;  -3034.0512422500;  -3282.1505303201
22;117;  -3050.0249650438;  -3033.7310072500;  -3284.5262384698
23;137;  -3050.1700468573;  -3034.0512422500;  -3282.1505303201
24;147;  -3050.4105004087;  -3034.1084278000;  -3285.0285615704
25;162;  -3051.0814159987;  -3034.0760715600;  -3295.8209063301
26;187;  -3051.0232039229;  -3033.7870508000;  -3299.0844734701
27;188;  -3051.0814159987;  -3034.0760715600;  -3295.8209063301
28;227;  -3046.8230967126;  -3033.7483398600;  -3234.9939003002
29;228;  -3048.4993774673;  -3034.2421049800;  -3253.6888468505
30;234;  -3048.4546028861;  -3033.9759712100;  -3256.8298551405
31;235;  -3048.8333066261;  -3034.3701564800;  -3256.9857500005
32;237;  -3048.9129790927;  -3034.4338043900;  -3257.2960465404
33;238;  -3049.0864580061;  -3034.6356937500;  -3257.0606446905
34;240;  -3050.1494409120;  -3034.5067887300;  -3275.2771786205
35;253;  -3050.0779453568;  -3034.4029231900;  -3275.6715491704
36;257;  -3050.0787888401;  -3034.3342678200;  -3276.6726143205
37;263;  -3049.9255311357;  -3034.4585225100;  -3272.5254215204
38;265;  -3050.1494409120;  -3034.5067887300;  -3275.2771786205
39;267;  -3050.5700717989;  -3034.4572887700;  -3282.4638932102
40;281;  -3041.0115933478;  -3033.2449773800;  -3152.7880787004
41;282;  -3041.2709906109;  -3033.2555296100;  -3156.6288328000
42;283;  -3042.8641408268;  -3033.5540807300;  -3176.8537445799
43;285;  -3042.9463156117;  -3033.7426855500;  -3175.4041872300
44;286;  -3044.1277663527;  -3033.7997200700;  -3192.7681418802
45;287;  -3046.3494458736;  -3034.3369372900;  -3219.2324615002
46;288;  -3047.0666631989;  -3033.8428682300;  -3237.3824108501
47;289;  -3047.5170346837;  -3033.8563327600;  -3244.1207105702
48;290;  -3048.8338546803;  -3033.3527932200;  -3271.6359922801
49;294;  -3050.2345221369;  -3033.6568929800;  -3288.8183700201
50;316;  -3050.6826685621;  -3033.8989771300;  -3292.2321474201
51;317;  -3041.9046659193;  -3032.8950902600;  -3171.5697228601
52;318;  -3042.2294250070;  -3032.7803747100;  -3178.2193640600
53;319;  -3043.6497233259;  -3032.9312228000;  -3197.9094835600
54;320;  -3043.9601454367;  -3033.3421957500;  -3196.7727864304
55;321;  -3044.2143171280;  -3033.8436254400;  -3193.4684417502
56;325;  -3045.4839075250;  -3033.7506001600;  -3214.3486826402
57;330;  -3046.5761157637;  -3033.6969980200;  -3231.9312977099
58;332;  -3049.1050690108;  -3033.8920076900;  -3268.0501710902
59;339;  -3049.2569781814;  -3033.3102322400;  -3278.7612077599
60;345;  -3049.1050690108;  -3033.8920076900;  -3268.0501710902
61;346;  -3049.3549071085;  -3033.5048002900;  -3277.4683145402
62;348;  -3049.3324853609;  -3033.5552267500;  -3276.3974675002
63;349;  -3049.3549071085;  -3033.5048002900;  -3277.4683145402
64;351;  -3050.3566812478;  -3033.1279000700;  -3298.3118543802
65;354;  -3050.3898874064;  -3033.4746299400;  -3293.8328535902
66;366;  -3050.5439726901;  -3033.7373477000;  -3292.4235093905
67;373;  -3051.0505352071;  -3033.7010151500;  -3300.7433721605
68;380;  -3051.0920039718;  -3033.9048431300;  -3298.4481807205
69;402;  -3050.9551729705;  -3033.8113077500;  -3297.6882427704
70;408;  -3050.9713936797;  -3034.0001778300;  -3295.2197082207
71;418;  -3051.0836974683;  -3034.1472129300;  -3294.8321618908
72;421;  -3050.8271061265;  -3034.4203517900;  -3286.9517379309
73;434;  -3050.8250170855;  -3034.2926967800;  -3288.7567837809
74;436;  -3050.8271061265;  -3034.4203517900;  -3286.9517379309
75;448;  -3044.1380212896;  -3033.3811973200;  -3198.9493293096
76;450;  -3044.0615372665;  -3033.4887005200;  -3196.2249166099
77;451;  -3046.9089483506;  -3033.5896564000;  -3238.5990805499
78;456;  -3047.9746807101;  -3033.0587575800;  -3262.6433948798
79;465;  -3048.3128046614;  -3033.3015860300;  -3264.3530036901
80;466;  -3048.5197480261;  -3033.6685821500;  -3262.2564812301
81;471;  -3050.4105004087;  -3034.1084278000;  -3285.0285615704
82;498;  -3050.3885090499;  -3034.1049512900;  -3284.7401060604
83;512;  -3051.0814159987;  -3034.0760715600;  -3295.8209063301
84;539;  -3046.3106976172;  -3032.5673004500;  -3244.1045165096
85;540;  -3048.4591897192;  -3032.6736558800;  -3275.6432682498
86;556;  -3048.3476839826;  -3033.2077479500;  -3266.2403730501
87;558;  -3049.5937261243;  -3033.3789383300;  -3282.9555915600
88;560;  -3049.6458723901;  -3033.3980923500;  -3283.4825594601
89;562;  -3049.9277798239;  -3033.7370205500;  -3282.9438288101
90;568;  -3049.3187652918;  -3033.8142151900;  -3272.4589494498
91;569;  -3049.3690485921;  -3033.9948785000;  -3270.6328145901
92;575;  -3043.9211871257;  -3033.5737975600;  -3192.8399495596
93;578;  -3044.8683545917;  -3033.9809426000;  -3201.5590744699
94;580;  -3046.0262490940;  -3033.8708940100;  -3220.9650995702
95;581;  -3047.7312641854;  -3034.0457855200;  -3244.6915248604
96;587;  -3049.0864580061;  -3034.6356937500;  -3257.0606446905
97;591;  -3049.2968761664;  -3034.5801446100;  -3261.0988419205
98;604;  -3049.2698800516;  -3034.4410348000;  -3262.6853767008
99;606;  -3050.0779453568;  -3034.4029231900;  -3275.6715491704
100;619;  -3050.1146623952;  -3034.3944898900;  -3276.3580660907
101;623;  -3050.4783294047;  -3034.2358708800;  -3284.2384296707
102;633;  -3050.8271061265;  -3034.4203517900;  -3286.9517379309
103;636;  -3050.7834893307;  -3034.1991806200;  -3289.4634687908
104;647;  -3044.4215750500;  -3033.5118839900;  -3201.4329334098
105;649;  -3045.9373990036;  -3033.6608901900;  -3222.6198837901
106;651;  -3046.9518912136;  -3032.9479035900;  -3248.4961060901
107;652;  -3047.1622475492;  -3033.1079238800;  -3249.4308945702
108;656;  -3048.4585952633;  -3033.5251341900;  -3263.3797140404
109;663;  -3048.5091773975;  -3033.7831886200;  -3260.4443723007
110;667;  -3049.4046420107;  -3033.9543240600;  -3271.7643216010
111;672;  -3049.6485055149;  -3034.1047416500;  -3273.3530508610
112;675;  -3049.5222511869;  -3034.3187372700;  -3268.3299478308
113;678;  -3050.0460615981;  -3034.4215553200;  -3274.9126449806
114;705;  -3050.2436930150;  -3034.2668663100;  -3280.1808424208
115;709;  -3049.9960422518;  -3034.0834516700;  -3279.0087107610
116;711;  -3049.8856864889;  -3033.8144965200;  -3281.1809040710
117;718;  -3050.4077881578;  -3034.3823949400;  -3281.0439027408
118;721;  -3050.6574359639;  -3034.4052919700;  -3284.5569286908
119;727;  -3050.6824303184;  -3034.0929004800;  -3289.4375518107
120;750;  -3050.3815012061;  -3034.1847450700;  -3283.4838565304
121;761;  -3050.6574359639;  -3034.4052919700;  -3284.5569286908
122;823;  -3050.8271061265;  -3034.4203517900;  -3286.9517379309
123;846;  -3051.0836974683;  -3034.1472129300;  -3294.8321618908
124;859;  -3050.5163826582;  -3033.8057702900;  -3291.0141137605
125;862;  -3043.6320377950;  -3033.2517729500;  -3193.0239384902
126;863;  -3046.4051375561;  -3032.9129230900;  -3240.5839560904
127;864;  -3047.4076991509;  -3033.5951373700;  -3246.1969293601
128;870;  -3047.8060335942;  -3033.8598827600;  -3248.5178662501
129;871;  -3047.9361185388;  -3034.1469113700;  -3246.3892311301
130;874;  -3048.1593622421;  -3033.6358151400;  -3257.1810335401
131;884;  -3048.3782555425;  -3034.1493949500;  -3253.1588233201
132;886;  -3049.2403218778;  -3034.1186879700;  -3266.8696082998
133;889;  -3049.7056071835;  -3033.3896185400;  -3284.5239467497
134;912;  -3049.5994649952;  -3033.4847079600;  -3281.5216961401
135;916;  -3049.4260116369;  -3033.8677990700;  -3273.3385014903
136;918;  -3050.4242036940;  -3033.3633400200;  -3295.9627222003
137;922;  -3050.6501906754;  -3033.6769509900;  -3294.9276320901
138;924;  -3051.0429703679;  -3033.0140631900;  -3310.5134897600
139;955;  -3045.5580982628;  -3033.2760509900;  -3222.3202920899
140;956;  -3045.5036233639;  -3033.2629527200;  -3221.6703282196
141;962;  -3047.9053720452;  -3033.7134833200;  -3252.1538438096
142;975;  -3048.0832226487;  -3033.6673392500;  -3255.5554069598
143;979;  -3048.2001343259;  -3033.6914297300;  -3257.0081935198
144;1000;  -3048.5599825829;  -3033.7530673300;  -3261.6598645301
145;1003;  -3048.5098822841;  -3033.7086107600;  -3261.5285401598
146;1004;  -3048.5599825829;  -3033.7530673300;  -3261.6598645301
147;1005;  -3049.5581794232;  -3033.8481285000;  -3275.6559141598
148;1006;  -3050.6019794493;  -3034.1377758600;  -3287.5534160801
149;1046;  -3051.3709798711;  -3034.3790971300;  -3295.9167305804
150;1050;  -3041.5837462358;  -3033.2627678600;  -3161.3385688501
151;1052;  -3043.6835979000;  -3033.6113737700;  -3188.6422024701
152;1053;  -3045.6386059736;  -3033.3389473100;  -3222.6542614598
153;1055;  -3048.0577017574;  -3033.0573454800;  -3263.9415706998
154;1059;  -3048.1524454088;  -3032.2699488100;  -3276.7320038398
155;1062;  -3046.3990173039;  -3033.4771465400;  -3232.3694971297
156;1063;  -3047.3495888704;  -3033.4640563000;  -3247.1890085597
157;1064;  -3049.6015948426;  -3033.4681275800;  -3281.7931020101
158;1065;  -3049.5824319323;  -3033.5686520600;  -3280.0514082201
159;1066;  -3050.9037028963;  -3034.1904573400;  -3291.4393306201
160;1085;  -3050.6981725046;  -3034.1217825300;  -3289.2641861801
161;1090;  -3050.8080796279;  -3034.1805936100;  -3290.1094632701
162;1133;  -3050.8547400690;  -3033.7063882700;  -3297.6523803301
163;1136;  -3050.8235486587;  -3034.1300467300;  -3291.0750277503
164;1137;  -3050.3885090499;  -3034.1049512900;  -3284.7401060604
165;1138;  -3050.4625959158;  -3034.4295666500;  -3281.2086078604
166;1145;  -3050.1942322251;  -3034.4356587700;  -3276.9902991702
167;1146;  -3050.8911565887;  -3034.1102389100;  -3292.4007158201
168;1214;  -3050.8547400690;  -3033.7063882700;  -3297.6523803301
169;1224;  -3050.5314553466;  -3033.7656114500;  -3291.8240739701
170;1230;  -3050.7548343334;  -3034.0043988700;  -3291.8256960804
171;1237;  -3051.0814159987;  -3034.0760715600;  -3295.8209063301
172;1238;  -3051.0232039229;  -3033.7870508000;  -3299.0844734701
173;1244;  -3050.4997606737;  -3034.0939215800;  -3286.6112203802
174;1245;  -3050.9608816879;  -3033.6927900600;  -3299.4818075198
175;1252;  -3051.0232039229;  -3033.7870508000;  -3299.0844734701
176;1273;  -3050.3337130658;  -3034.1773104800;  -3282.8553034802
177;1281;  -3044.5539575674;  -3033.3672568100;  -3205.5520162501
178;1282;  -3045.1177204915;  -3033.3198596100;  -3214.9115444002
179;1285;  -3045.5707363558;  -3033.8510581900;  -3214.2393611802
180;1289;  -3044.9573156036;  -3033.8876781500;  -3204.2706090399
181;1292;  -3045.2478406856;  -3034.0127000500;  -3206.9430420300
182;1297;  -3046.8654658135;  -3033.9729612200;  -3232.4133101802
183;1302;  -3046.2178163660;  -3034.3185192000;  -3217.4715027700
184;1305;  -3046.4071687262;  -3034.2115919000;  -3221.9248871402
185;1309;  -3046.7835455482;  -3034.2264150600;  -3227.5047139303
186;1310;  -3049.9234180254;  -3034.6318982500;  -3269.9976876005
187;1337;  -3049.7428242407;  -3034.4833304500;  -3269.3561785305
188;1341;  -3050.1505857649;  -3034.4958190600;  -3275.4526746705
189;1348;  -3050.2452385152;  -3034.3851656600;  -3278.5020763105
190;1355;  -3050.4800332135;  -3034.2616695200;  -3283.8933626907
191;1369;  -3050.3815012061;  -3034.1847450700;  -3283.4838565304
192;1375;  -3038.2847051457;  -3033.4145181400;  -3108.3760279000
193;1376;  -3039.3039230960;  -3032.8707670400;  -3131.8893652802
194;1380;  -3039.3257574824;  -3032.4160689600;  -3138.7694149404
195;1381;  -3040.3564206651;  -3032.6061728400;  -3151.8973370805
196;1382;  -3040.2431671754;  -3032.8638806500;  -3146.4452396904
197;1383;  -3042.9464428095;  -3033.4023490000;  -3180.3042401204
198;1384;  -3043.1328052715;  -3033.9698189800;  -3175.0057351602
199;1385;  -3043.5578604909;  -3033.7877651700;  -3184.1682525905
200;1386;  -3043.9706269712;  -3033.3735907100;  -3196.4822837004
201;1387;  -3046.3154855658;  -3034.1591635300;  -3221.2682523305
202;1388;  -3046.7564978798;  -3033.8831929400;  -3232.0280224405
203;1389;  -3049.1888615173;  -3034.2870069800;  -3263.6551016804
204;1392;  -3048.9786169722;  -3034.1222952500;  -3262.7895526801
205;1399;  -3049.0563570060;  -3034.3616145300;  -3260.5418577602
206;1402;  -3048.5872594893;  -3034.0334405200;  -3258.0446009598
207;1408;  -3048.7686402393;  -3033.5279822900;  -3268.1109106798
208;1415;  -3049.5824319323;  -3033.5686520600;  -3280.0514082201
209;1417;  -3049.5994649952;  -3033.4847079600;  -3281.5216961401
210;1419;  -3050.9608816879;  -3033.6927900600;  -3299.4818075198
211;1441;  -3051.0429703679;  -3033.0140631900;  -3310.5134897600
212;1444;  -3043.8460354770;  -3033.7857778000;  -3188.6324198601
213;1447;  -3047.7847390928;  -3034.3732961000;  -3240.8011013604
214;1448;  -3048.1993600645;  -3034.5109254500;  -3245.2021625102
215;1452;  -3048.6851209240;  -3034.4938877000;  -3252.9241587705
216;1453;  -3048.9613249017;  -3034.2172364700;  -3261.1570085105
217;1460;  -3050.2704181512;  -3034.0265880500;  -3284.0502580309
218;1477;  -3050.0012220567;  -3034.3230711800;  -3275.6398540009
219;1478;  -3050.7974902289;  -3034.0211924200;  -3292.2405606811
220;1490;  -3044.6688915490;  -3033.0552472700;  -3211.8114855707
221;1491;  -3044.5606627096;  -3033.5335999800;  -3203.2612242904
222;1494;  -3045.3897304238;  -3033.3042728700;  -3219.3226215101
223;1495;  -3046.3171550582;  -3033.4126944100;  -3232.0370699601
224;1498;  -3047.5779082533;  -3033.6851234000;  -3247.5217021901
225;1499;  -3047.4120363568;  -3033.7566487000;  -3243.9392297598
226;1501;  -3047.6457221679;  -3033.5103464600;  -3251.0808633296
227;1516;  -3047.7676317368;  -3033.5872762300;  -3251.8501183898
228;1519;  -3048.7262115580;  -3033.7990806700;  -3263.5562268401
229;1530;  -3049.5683749869;  -3033.6113328200;  -3279.2207869798
230;1560;  -3043.1114452063;  -3033.0255022600;  -3188.2674898297
231;1561;  -3043.8533181746;  -3033.4146400700;  -3194.0858975997
232;1562;  -3048.4544870138;  -3033.9715332300;  -3256.8919426798
233;1563;  -3048.7566956972;  -3033.6798268100;  -3265.7417276995
234;1567;  -3048.9492603132;  -3034.1135349800;  -3262.4637745198
235;1579;  -3049.5580987413;  -3033.9941446800;  -3273.5532196998
236;1593;  -3050.3065450348;  -3034.2974603200;  -3280.7079490099
237;1594;  -3050.5314553466;  -3033.7656114500;  -3291.8240739701
238;1601;  -3044.6628920421;  -3033.6388970800;  -3203.3193025705
239;1610;  -3045.3322364023;  -3033.2534461600;  -3219.1691721008
240;1611;  -3045.9377747845;  -3032.9478932600;  -3232.8870597711
241;1613;  -3046.6990598623;  -3033.7296785100;  -3233.3533080909
242;1617;  -3048.2764088844;  -3033.8978778300;  -3255.2110213908
243;1620;  -3050.6574359639;  -3034.4052919700;  -3284.5569286908
244;1628;  -3050.7834893307;  -3034.1991806200;  -3289.4634687908
245;1629;  -3050.7974902289;  -3034.0211924200;  -3292.2405606811
246;1636;  -3050.4671396913;  -3034.0575585800;  -3286.6324542011
247;1644;  -3050.2436930150;  -3034.2668663100;  -3280.1808424208
248;1645;  -3050.6917780166;  -3034.4929888100;  -3283.8233931209
249;1662;  -3050.8271061265;  -3034.4203517900;  -3286.9517379309
250;1678;  -3050.8250170855;  -3034.2926967800;  -3288.7567837809
251;1715;  -3050.8271061265;  -3034.4203517900;  -3286.9517379309
252;1724;  -3050.6823005717;  -3034.3256696900;  -3286.0855598205
253;1729;  -3050.8861817837;  -3033.7448886900;  -3297.5822337502
254;1749;  -3040.9367383055;  -3033.2861930100;  -3151.0427442800
255;1750;  -3040.9375871106;  -3032.7579697100;  -3158.6579544297
256;1753;  -3040.6647138675;  -3033.2212378200;  -3147.7905965997
257;1754;  -3042.0792431958;  -3033.8706174400;  -3160.2170963298
258;1756;  -3042.8204808164;  -3033.4252776600;  -3178.0354563394
259;1757;  -3043.7259593019;  -3033.6881568500;  -3188.1891699696
260;1758;  -3044.9823276690;  -3033.8575417800;  -3205.0893127599
