#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -3015.7443333205;  -2996.3380037100;  -3025.7078751601
2;9;  -3020.9261696159;  -2995.5803300600;  -3033.9391575401
3;10;  -3021.6950234162;  -2994.3180287800;  -3035.7508411301
4;12;  -3021.9624252971;  -2995.7512115800;  -3035.4197111301
5;14;  -3023.8248371340;  -2995.3688069500;  -3038.4346501701
6;15;  -3024.5119530254;  -2996.9508289800;  -3038.6623059301
7;16;  -3027.3161255253;  -2996.5595885900;  -3043.1070581100
8;17;  -3039.9369704290;  -2997.5565998600;  -3061.6957781900
9;19;  -3040.4036909214;  -2997.9245695400;  -3062.2131990400
10;52;  -3046.8855190179;  -2998.3437738400;  -3071.8076819800
11;56;  -3052.0112856501;  -2998.3306383200;  -3079.5718489501
12;74;  -3009.1096383926;  -2994.3545702100;  -3016.6851429900
13;75;  -3009.2812027452;  -2994.9847828700;  -3016.6212294500
14;77;  -3014.6981991623;  -2995.2050690800;  -3024.7063058501
15;79;  -3022.2978066624;  -2997.1290468400;  -3035.2198788201
16;82;  -3024.7355666561;  -2997.4199190200;  -3038.7598877700
17;85;  -3025.1795941092;  -2996.8286869400;  -3039.7354351900
18;91;  -3029.6455288230;  -2997.6048567900;  -3046.0957583501
19;92;  -3042.4005688834;  -2999.0126207200;  -3064.6766842301
20;97;  -3046.7386066446;  -2998.5938464500;  -3071.4569507202
21;117;  -3047.6353799044;  -2999.2812446300;  -3072.4612207302
22;119;  -3048.4998210802;  -2999.1000201000;  -3073.8625245802
23;151;  -3049.9600387145;  -2998.6791574200;  -3076.2885210502
24;170;  -3049.9600387145;  -2998.6791574200;  -3076.2885210502
25;173;  -3051.3249532062;  -2998.6612640700;  -3078.3633927601
26;181;  -3051.8590525783;  -2999.5984494600;  -3078.6905408701
27;226;  -3053.4563977202;  -2999.9300230800;  -3080.9377547802
28;227;  -3053.5688090695;  -2999.6030356200;  -3081.2757610002
29;229;  -3053.2567764393;  -3000.0322075500;  -3080.5831812602
30;232;  -3019.2368205926;  -2997.2105368200;  -3030.5454917501
31;234;  -3020.0778331409;  -2996.4195945100;  -3032.2243778601
32;236;  -3026.0397913270;  -2995.7852569000;  -3041.5729872302
33;237;  -3032.7120704710;  -2997.3156286200;  -3050.8852096702
34;242;  -3032.8685334763;  -2997.8398656600;  -3050.8528511901
35;245;  -3034.4987362500;  -2998.2203061400;  -3053.1247033201
36;254;  -3034.8643785409;  -2998.3854595200;  -3053.5932800501
37;263;  -3035.6303793438;  -2998.6236882500;  -3054.6302480701
38;275;  -3035.9430422257;  -2997.8314420100;  -3055.5101902101
39;282;  -3038.6228455351;  -2996.7207187700;  -3060.1361147401
40;288;  -3039.2624577069;  -2996.4025212000;  -3061.2674828302
41;290;  -3041.4780707808;  -2996.7856023400;  -3064.4239491702
42;292;  -3042.6993190235;  -2996.8445547900;  -3066.2419399701
43;319;  -3050.8566600467;  -2999.8463851600;  -3077.0462084201
44;327;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
45;336;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
46;386;  -3004.6222961456;  -2995.9489441100;  -3009.0753435600
47;388;  -3005.2485544848;  -2995.9287558300;  -3010.0334986600
48;389;  -3008.1716174023;  -2995.9228368600;  -3014.4603510200
49;390;  -3009.0115440268;  -2995.9435851400;  -3015.7208578300
50;396;  -3010.0347859665;  -2994.6403913300;  -3017.9385317100
51;398;  -3010.5193215672;  -2995.9770104600;  -3017.9855930399
52;401;  -3020.3280094406;  -2996.7086178000;  -3032.4546094500
53;402;  -3025.1523501389;  -2996.4211925200;  -3039.9034183100
54;404;  -3026.0063530036;  -2997.2422667100;  -3040.7743273200
55;406;  -3028.2721989902;  -2997.9968147000;  -3043.8160995701
56;408;  -3031.2674086237;  -2998.1109300700;  -3048.2905123201
57;409;  -3030.3786419647;  -2997.7607608800;  -3047.1252205001
58;411;  -3036.1030279917;  -2997.9909246100;  -3055.6704343101
59;417;  -3035.9749531206;  -2998.3711577000;  -3055.2813854301
60;418;  -3036.1030279917;  -2997.9909246100;  -3055.6704343101
61;423;  -3037.3630520326;  -2997.4785958500;  -3057.8404146201
62;433;  -3038.6841042877;  -2998.1618530400;  -3059.4889217801
63;434;  -3041.1402890843;  -2997.9771258700;  -3063.3009959901
64;437;  -3048.6648772655;  -2999.9670349500;  -3073.6671831702
65;440;  -3049.4896636077;  -3000.0175666500;  -3074.8894851002
66;449;  -3050.5258253702;  -2999.6169660800;  -3076.6633052402
67;451;  -3050.8566600467;  -2999.8463851600;  -3077.0462084201
68;454;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
69;537;  -3007.4632925146;  -2996.1184790100;  -3013.2879139801
70;539;  -3018.0359944387;  -2997.0603172900;  -3028.8052661701
71;540;  -3026.1744150692;  -2997.6697599100;  -3040.8091930001
72;542;  -3030.4723422940;  -2997.0276804400;  -3047.6434042301
73;543;  -3039.0425673230;  -2998.4547530400;  -3059.8810460000
74;544;  -3041.1041721016;  -2997.5375795800;  -3063.4720065200
75;574;  -3043.9866122459;  -2997.7618377800;  -3067.7192027801
76;575;  -3046.7110635318;  -2998.0208744600;  -3071.7094401301
77;578;  -3046.9019165305;  -2998.7511363300;  -3071.6233513802
78;583;  -3047.3248140087;  -2999.7472930300;  -3071.7519277602
79;598;  -3050.1051731670;  -2999.2951961400;  -3076.1918851903
80;603;  -3054.1560421166;  -2999.1344358700;  -3082.4050766803
81;718;  -3021.1202517503;  -2996.1072729000;  -3033.9623432901
82;721;  -3029.9691693888;  -2996.4686629900;  -3047.1689028701
83;723;  -3029.9775049240;  -2995.7066631000;  -3047.5727418001
84;734;  -3033.9655301879;  -2995.7971967300;  -3053.5618059901
85;745;  -3039.6740229440;  -2997.0017188000;  -3061.5827144001
86;747;  -3043.0193682905;  -2998.9617924500;  -3065.6392819501
87;749;  -3043.3329309820;  -3000.0555153400;  -3065.5522970401
88;761;  -3048.1380803638;  -3000.4159693200;  -3072.6394291301
89;773;  -3049.5532970528;  -2999.8225818100;  -3075.0858976002
90;775;  -3029.4664772346;  -2998.5145316600;  -3045.3577359599
91;780;  -3032.5680399683;  -2998.3075868600;  -3050.1579430999
92;784;  -3039.5754776376;  -2999.4562838500;  -3060.1733585300
93;790;  -3040.0497781926;  -2999.3550471000;  -3060.9431497900
94;793;  -3043.5073157327;  -2999.0946657800;  -3066.3095305201
95;800;  -3046.9276210789;  -2999.2671277800;  -3071.3973342401
96;805;  -3048.0659591907;  -3000.1346121100;  -3072.6747333202
97;809;  -3048.8530407326;  -2999.6085598800;  -3074.1360002202
98;812;  -3049.6399646406;  -2999.7622526200;  -3075.2480358502
99;820;  -3052.8216129566;  -2998.9456669700;  -3080.4824459301
100;875;  -3012.8630321007;  -2996.9624100400;  -3021.0266836699
101;878;  -3024.9261116927;  -2997.1920199000;  -3039.1652691999
102;882;  -3026.6546510241;  -2997.8358086300;  -3041.4507380599
103;886;  -3029.9688800214;  -2998.1653660300;  -3046.2973485500
104;889;  -3033.8926666241;  -2998.1957787400;  -3052.2200599600
105;890;  -3039.5606305234;  -2999.4262116800;  -3060.1663282201
106;891;  -3040.0637273651;  -2999.5278600100;  -3060.8755356000
107;905;  -3042.3738069873;  -2999.4817086400;  -3064.3953445500
108;910;  -3044.6836377445;  -2999.4059233800;  -3067.9299914100
109;929;  -3016.5844977353;  -2996.9143188100;  -3026.6835043300
110;932;  -3021.9119406556;  -2996.1732007800;  -3035.1266503301
111;934;  -3028.3002347765;  -2996.7562953300;  -3044.4954332900
112;935;  -3035.2792587799;  -2997.8949373800;  -3054.4730093700
113;936;  -3038.0230931533;  -2997.8808242400;  -3058.6328212101
114;939;  -3042.5478839038;  -2997.8831739900;  -3065.4795105902
115;965;  -3042.6902483035;  -2998.1313978900;  -3065.5675249103
116;970;  -3047.4710523518;  -2998.3035447000;  -3072.7144924804
117;979;  -3057.7665547650;  -2999.9658178100;  -3087.4424426103
118;1001;  -3057.7665547650;  -2999.9658178100;  -3087.4424426103
119;1009;  -3057.7665547650;  -2999.9658178100;  -3087.4424426103
120;1017;  -3057.7665547650;  -2999.9658178100;  -3087.4424426103
121;1048;  -3013.3693042118;  -2997.7898756700;  -3021.3680495300
122;1049;  -3027.4801286669;  -2998.5088436400;  -3042.3544823600
123;1050;  -3032.2453594344;  -2997.6903169400;  -3049.9865098000
124;1052;  -3042.3738069873;  -2999.4817086400;  -3064.3953445500
125;1062;  -3042.4913076977;  -2999.7547133400;  -3064.4330068501
126;1070;  -3042.3738069873;  -2999.4817086400;  -3064.3953445500
127;1073;  -3043.7835360350;  -2999.1472492900;  -3066.7005697800
128;1083;  -3044.7752722983;  -2998.8720011800;  -3068.3427975100
129;1092;  -3046.8855190179;  -2998.3437738400;  -3071.8076819800
130;1106;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
131;1155;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
132;1161;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
133;1174;  -3054.2087757560;  -2999.0886989900;  -3082.5083667700
134;1271;  -3010.0429662488;  -2995.3805017300;  -3017.5709265400
135;1273;  -3021.5033250800;  -2995.8447441100;  -3034.6768798000
136;1275;  -3025.9175344312;  -2996.4335071800;  -3041.0551387601
137;1276;  -3026.0074403513;  -2997.9814865500;  -3040.3964448101
138;1278;  -3025.9175344312;  -2996.4335071800;  -3041.0551387601
139;1279;  -3031.2977941066;  -2996.8314717200;  -3048.9933940500
140;1283;  -3034.1947436986;  -2997.8219656800;  -3052.8691506001
141;1287;  -3038.3535653621;  -2997.5324177200;  -3059.3118413800
142;1296;  -3040.5559950270;  -2998.9405552200;  -3061.9220742400
143;1311;  -3002.4069668504;  -2994.1944691300;  -3006.6234037700
144;1312;  -3004.3185020969;  -2995.3561332500;  -3008.9199356899
145;1314;  -3007.2645061648;  -2995.0498692300;  -3013.5357098699
146;1315;  -3017.1136758503;  -2995.7050684000;  -3028.1052214099
147;1319;  -3014.3898114830;  -2994.6843955900;  -3024.5069093401
148;1321;  -3018.2687974058;  -2996.1613624500;  -3029.6191329701
149;1325;  -3019.3381775126;  -2996.2457576500;  -3031.1942211900
