#step;attempt;energy_eV;energy_low_eV;energy_high_eV
93;1470;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
94;1489;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
95;1515;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
96;1563;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
97;1580;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
98;1623;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
99;1689;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
100;1697;  -2985.0229083100;  -2980.2140693300;  -2985.0229083100
101;1706;  -2984.9928393600;  -2979.7094175200;  -2984.9928393600
102;1707;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
103;1708;  -2985.0506068900;  -2980.9195006900;  -2985.0506068900
104;1711;  -2985.1514379700;  -2980.8056797100;  -2985.1514379700
105;1718;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
106;1732;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
107;1750;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
108;1759;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
109;1767;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
110;1777;  -2985.0023020900;  -2980.3610585900;  -2985.0023020900
111;1786;  -2984.8155060500;  -2981.7856069400;  -2984.8155060500
112;1787;  -2984.8212198100;  -2981.7043110401;  -2984.8212198100
113;1791;  -2984.7929562100;  -2981.7958665101;  -2984.7929562100
114;1792;  -2984.5831756100;  -2981.4329934901;  -2984.5831756100
115;1793;  -2984.7929562100;  -2981.7958665101;  -2984.7929562100
116;1801;  -2985.0341049500;  -2980.8228553101;  -2985.0341049500
117;1826;  -2984.8430362600;  -2980.7038217301;  -2984.8430362600
118;1834;  -2984.8755747000;  -2981.1112189801;  -2984.8755747000
119;1842;  -2984.9022979800;  -2981.2392182701;  -2984.9022979800
120;1846;  -2984.8755747000;  -2981.1112189801;  -2984.8755747000
121;1847;  -2984.8037914100;  -2980.2500935800;  -2984.8037914100
122;1855;  -2984.8036425500;  -2980.6133244000;  -2984.8036425500
123;1856;  -2984.8682408300;  -2981.7688754401;  -2984.8682408300
124;1857;  -2984.9477901800;  -2981.0490770001;  -2984.9477901800
125;1858;  -2985.0022985700;  -2981.1201437001;  -2985.0022985700
126;1870;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
127;1893;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
128;1943;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
129;1977;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
130;1995;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
131;1998;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
132;2022;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
133;2026;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
134;2063;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
135;2115;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
136;2136;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
137;2171;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
138;2173;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
139;2182;  -2985.0435416800;  -2980.6259073100;  -2985.0435416800
140;2205;  -2985.0166122700;  -2981.1637043900;  -2985.0166122700
141;2220;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
142;2254;  -2984.8798770100;  -2980.4117169300;  -2984.8798770100
143;2265;  -2984.8982096100;  -2980.9743006700;  -2984.8982096100
144;2268;  -2984.7086467400;  -2981.0449372300;  -2984.7086467400
145;2269;  -2984.6948701700;  -2981.0534709100;  -2984.6948701700
146;2277;  -2984.8021254000;  -2981.0132110600;  -2984.8021254000
147;2293;  -2984.9116347900;  -2980.7252252100;  -2984.9116347900
148;2303;  -2985.0435416800;  -2980.6259073100;  -2985.0435416800
149;2308;  -2985.0050819100;  -2980.6449967500;  -2985.0050819100
150;2311;  -2985.0023020900;  -2980.3610585900;  -2985.0023020900
151;2313;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
152;2317;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
153;2318;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
154;2338;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
155;2383;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
156;2404;  -2985.1514379700;  -2980.8056797100;  -2985.1514379700
157;2439;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
158;2484;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
159;2488;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
160;2514;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
161;2533;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
162;2536;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
163;2537;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
164;2544;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
165;2560;  -2984.7426002700;  -2980.3523257400;  -2984.7426002700
166;2564;  -2985.0554048800;  -2980.8031807900;  -2985.0554048800
167;2582;  -2984.7426002700;  -2980.3523257400;  -2984.7426002700
168;2583;  -2984.6542816800;  -2979.6913727700;  -2984.6542816800
169;2584;  -2984.6304794000;  -2980.0721754200;  -2984.6304794000
170;2596;  -2984.6795987400;  -2981.0228490200;  -2984.6795987400
171;2597;  -2984.7520521800;  -2980.9703124300;  -2984.7520521800
