#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -3047.7943579741;  -3040.1362995000;  -3262.4621805403
2;1;  -3048.0229830088;  -3040.5691673200;  -3256.9655484303
3;2;  -3049.1848832187;  -3040.6257941600;  -3289.1100571505
4;3;  -3049.5128374503;  -3040.6930213900;  -3296.7466128906
5;4;  -3050.2122406874;  -3040.7036061200;  -3316.7547181402
6;6;  -3050.4857537542;  -3040.7561431900;  -3323.2225474598
7;8;  -3050.4192622892;  -3040.6352820900;  -3324.6801252098
8;9;  -3049.9957651523;  -3040.5608719500;  -3314.4711523202
9;14;  -3050.3433329510;  -3040.7807448200;  -3318.3982164599
10;23;  -3050.1257560177;  -3040.8525441400;  -3310.0689529398
11;31;  -3050.4568150760;  -3040.5524248400;  -3328.0929669798
12;32;  -3050.5243413408;  -3040.4350085100;  -3333.3447346898
13;33;  -3050.3020226590;  -3040.3179262100;  -3330.1724692294
14;34;  -3050.2592330377;  -3040.6113521600;  -3320.7050108295
15;38;  -3050.4857537542;  -3040.7561431900;  -3323.2225474598
16;40;  -3050.3020226590;  -3040.3179262100;  -3330.1724692294
17;41;  -3046.1959158591;  -3040.5761104000;  -3203.7281944695
18;46;  -3047.8881866433;  -3040.4759398200;  -3255.6655092194
19;48;  -3048.5845395907;  -3040.8928494200;  -3264.1951132599
20;52;  -3050.9073216208;  -3041.1481552900;  -3324.4726114903
21;56;  -3050.9073547854;  -3041.2147143000;  -3322.6078171103
22;57;  -3051.1794697532;  -3041.0479476400;  -3335.1824972402
23;58;  -3051.5232581246;  -3040.7522171300;  -3353.4530390102
24;73;  -3050.9498459441;  -3040.7769980400;  -3336.1113025002
25;78;  -3051.2436367937;  -3040.5225704200;  -3351.7725478503
26;86;  -3051.6090206094;  -3040.7340690200;  -3356.4515843106
27;107;  -3051.3732064997;  -3040.9814270600;  -3342.6716697410
28;112;  -3051.3711490277;  -3040.8447120800;  -3346.4442810206
29;117;  -3051.2620491403;  -3040.8615264800;  -3342.8055990602
30;125;  -3051.5686854502;  -3040.7909120900;  -3353.6871854807
31;128;  -3051.3451992272;  -3040.8371638000;  -3345.9025067007
32;134;  -3046.5875974338;  -3040.1880592200;  -3225.9770521408
33;136;  -3047.0051068182;  -3040.0380198100;  -3242.3038764407
34;137;  -3047.6602463011;  -3040.3539633300;  -3252.4672299204
35;138;  -3048.0357011621;  -3040.7310618200;  -3252.7966111904
36;139;  -3048.9219280164;  -3041.1324015100;  -3267.2750131504
37;141;  -3049.1858433691;  -3040.8311123600;  -3283.3825291107
38;144;  -3050.1797347579;  -3041.1151495200;  -3304.2747879702
39;145;  -3050.3872204242;  -3040.9877203200;  -3313.8704815406
40;150;  -3050.6062019903;  -3040.7899263400;  -3325.7723588805
41;154;  -3051.0269839516;  -3040.6391101700;  -3342.2159652501
42;158;  -3051.0393499505;  -3040.4606988500;  -3347.5761294898
43;160;  -3051.7946066929;  -3040.2598195700;  -3375.1334325601
44;161;  -3047.9409112573;  -3040.0894017300;  -3268.0314811809
45;162;  -3048.6411601945;  -3040.4339815000;  -3278.7017148010
46;163;  -3047.0185709087;  -3039.7728519400;  -3250.1278471303
47;164;  -3047.6767726330;  -3040.1038299800;  -3259.9586604306
48;166;  -3047.9613761539;  -3040.5984649900;  -3254.3557400307
49;167;  -3048.2124427245;  -3041.1699594800;  -3245.6246913604
50;169;  -3049.1234999055;  -3040.8653104000;  -3280.6139704307
51;170;  -3049.0496928588;  -3040.2793351900;  -3294.8970692207
52;173;  -3049.8983309570;  -3040.6664605400;  -3308.6826595607
53;176;  -3051.3732064997;  -3040.9814270600;  -3342.6716697410
54;179;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
55;214;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
56;226;  -3051.7287506272;  -3040.9805481300;  -3353.0183313206
57;235;  -3051.5232581246;  -3040.7522171300;  -3353.4530390102
58;267;  -3051.8189829677;  -3041.3447172800;  -3345.4296697703
59;271;  -3051.7371611443;  -3041.2574684100;  -3345.4999768807
60;276;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
61;277;  -3051.7386883474;  -3040.6487510900;  -3362.6076496503
62;287;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
63;291;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
64;318;  -3051.6436899688;  -3040.9744336700;  -3350.7202804411
65;333;  -3051.4115700421;  -3040.9447281700;  -3344.8141552307
66;334;  -3051.0619025065;  -3041.0161282100;  -3332.6612793610
67;340;  -3051.1242853401;  -3040.9028553100;  -3337.6475778310
68;344;  -3051.1656050863;  -3040.9590588600;  -3337.2716803708
69;347;  -3051.1242853401;  -3040.9028553100;  -3337.6475778310
70;351;  -3050.9187665051;  -3041.0725748800;  -3326.9235167807
71;357;  -3051.4095401923;  -3040.9356806600;  -3345.0088418006
72;362;  -3051.1794697532;  -3041.0479476400;  -3335.1824972402
73;364;  -3050.6567707963;  -3041.1983311200;  -3315.7922038903
74;372;  -3050.6712998979;  -3041.0230203600;  -3321.1282527803
75;382;  -3049.8313287098;  -3040.7183071200;  -3305.2841315704
76;385;  -3050.5804099565;  -3040.8363273900;  -3323.7228774007
77;399;  -3050.8368317292;  -3040.8483221200;  -3330.8309863510
78;400;  -3050.6071675754;  -3040.7731918500;  -3326.2694863310
79;401;  -3050.8453512204;  -3040.8975026900;  -3329.6997097310
80;403;  -3050.7896715955;  -3041.0025479700;  -3325.1386498610
81;407;  -3050.8900062311;  -3040.6750754500;  -3337.2311142113
82;414;  -3051.4358829545;  -3041.0101302300;  -3343.6866725711
83;443;  -3051.6436899688;  -3040.9744336700;  -3350.7202804411
84;444;  -3049.7689910084;  -3040.8663409800;  -3299.3247371702
85;445;  -3050.0385207463;  -3040.7823330800;  -3309.5045013606
86;447;  -3050.2302168149;  -3040.7485899400;  -3316.0156247606
87;448;  -3050.7615547252;  -3041.1073748800;  -3321.3839028107
88;449;  -3051.4663530231;  -3041.1715594800;  -3340.0461439908
89;473;  -3051.1511378925;  -3040.7571760300;  -3342.5107779912
90;478;  -3051.1511378925;  -3040.7571760300;  -3342.5107779912
91;479;  -3051.6264752800;  -3041.0892353400;  -3347.0024327011
92;485;  -3051.5395538291;  -3040.8719167600;  -3350.5707546607
93;486;  -3051.5452468625;  -3040.7737570800;  -3353.4876080003
94;489;  -3051.4026840430;  -3040.6900477100;  -3351.6952873607
95;491;  -3051.6303879413;  -3041.1025133500;  -3346.7438194203
96;492;  -3049.9415350034;  -3040.4781687000;  -3315.2150694598
97;501;  -3050.1278726113;  -3040.8439490800;  -3310.3713345902
98;502;  -3050.5735930397;  -3040.8408930700;  -3323.3969877999
99;506;  -3049.9937459520;  -3040.6133114800;  -3312.9425664199
100;507;  -3050.0803410651;  -3040.6468059800;  -3314.5176580003
101;509;  -3050.8384212190;  -3040.3918880500;  -3343.6717204606
102;520;  -3051.3650140121;  -3040.9207787000;  -3344.1339005906
103;521;  -3051.3164846540;  -3040.9605834400;  -3341.6092229307
104;524;  -3051.4115700421;  -3040.9447281700;  -3344.8141552307
105;526;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
106;547;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
107;554;  -3052.0173155652;  -3041.0426841400;  -3359.6540670307
108;574;  -3051.3732064997;  -3040.9814270600;  -3342.6716697410
109;580;  -3051.8368688079;  -3041.0794225700;  -3353.3855665706
110;626;  -3051.7371611443;  -3041.2574684100;  -3345.4999768807
111;627;  -3051.8189829677;  -3041.3447172800;  -3345.4296697703
112;641;  -3051.7287506272;  -3040.9805481300;  -3353.0183313206
113;656;  -3051.3186342629;  -3041.0998875900;  -3337.7667078903
114;659;  -3051.5268166711;  -3041.1470767700;  -3342.4877920803
115;663;  -3051.6523278985;  -3041.1149468500;  -3347.0322408207
116;664;  -3051.6861097610;  -3040.8827642700;  -3354.5214381703
117;687;  -3051.6765928243;  -3040.8338889900;  -3355.6151995503
118;688;  -3051.6523278985;  -3041.1149468500;  -3347.0322408207
119;690;  -3051.6007033487;  -3041.0978980900;  -3346.0114007003
120;699;  -3051.2441314866;  -3040.8338428900;  -3343.0614364699
121;700;  -3050.8251069130;  -3041.1842914400;  -3321.0728299300
122;701;  -3051.1568986081;  -3040.9080772500;  -3338.4480145296
123;703;  -3051.1135618530;  -3041.1371537400;  -3330.7684918700
124;704;  -3051.1533141933;  -3041.0933772500;  -3333.1496930504
125;707;  -3051.1135618530;  -3041.1371537400;  -3330.7684918700
126;708;  -3051.2195969258;  -3040.9699143200;  -3338.5348550203
127;713;  -3051.1194194662;  -3040.9862834000;  -3335.1676886803
128;714;  -3051.2513448863;  -3040.8794924800;  -3341.9912210003
129;715;  -3051.4771891377;  -3040.2906545800;  -3365.0539297302
130;725;  -3051.3771602811;  -3040.4392800500;  -3357.9837160605
131;731;  -3051.2971140661;  -3040.5745893400;  -3351.8669051105
132;741;  -3051.0534050219;  -3040.5618185500;  -3345.1496215502
133;744;  -3051.0132476848;  -3040.5570173100;  -3344.1183753606
134;746;  -3050.9121340922;  -3040.1831514000;  -3351.6629524202
135;751;  -3050.7968225640;  -3040.7668832100;  -3331.9523202499
136;755;  -3050.9845755115;  -3040.8133954600;  -3336.0992794499
