#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -3017.4099512351;  -3002.7207817400;  -3032.0991207301
2;1;  -3018.9772105600;  -3003.0775578200;  -3034.8768633000
3;2;  -3022.5408810449;  -3003.2555627400;  -3041.8261993499
4;4;  -3026.9969823900;  -3003.8836368200;  -3050.1103279599
5;7;  -3026.9859295500;  -3003.0691809500;  -3050.9026781500
6;9;  -3037.9156116000;  -3003.5300236700;  -3072.3011995300
7;13;  -3021.9819356650;  -3004.4537799800;  -3039.5100913499
8;14;  -3026.4307656799;  -3004.6430860600;  -3048.2184452998
9;15;  -3019.6998737100;  -3004.0427521800;  -3035.3569952400
10;16;  -3025.5466621450;  -3003.5619090400;  -3047.5314152499
11;18;  -3026.5445974600;  -3004.4612148500;  -3048.6279800699
12;19;  -3032.2797148050;  -3004.4389336500;  -3060.1204959599
13;23;  -3035.0996666850;  -3004.2179921200;  -3065.9813412501
14;25;  -3037.8918484000;  -3004.2649608300;  -3071.5187359701
15;27;  -3039.6466189451;  -3005.1250963400;  -3074.1681415502
16;29;  -3041.2505233401;  -3004.7930205100;  -3077.7080261702
17;30;  -3042.7118914951;  -3004.5397459200;  -3080.8840370702
18;32;  -3047.7707610852;  -3004.0835690900;  -3091.4579530803
19;35;  -3049.7973323801;  -3004.5892495100;  -3095.0054152502
20;37;  -3055.2256631201;  -3006.3012311800;  -3104.1500950602
21;64;  -3056.2491880702;  -3006.3778724100;  -3106.1205037303
22;82;  -3056.4981507402;  -3006.4256254000;  -3106.5706760803
23;83;  -3028.8195474050;  -3004.0309524200;  -3053.6081423901
24;85;  -3030.7883133501;  -3003.7729594300;  -3057.8036672702
25;90;  -3038.1345270000;  -3004.2775584400;  -3071.9914955601
26;91;  -3039.5255687501;  -3004.5377245100;  -3074.5134129901
27;92;  -3039.5469356200;  -3004.2038032600;  -3074.8900679801
28;93;  -3043.5857411051;  -3004.3719942600;  -3082.7994879502
29;96;  -3045.4551829452;  -3004.4197393900;  -3086.4906265003
30;100;  -3037.4473584200;  -3004.4597805600;  -3070.4349362801
31;104;  -3040.1355807751;  -3004.2834499300;  -3075.9877116202
32;105;  -3042.1158604101;  -3005.2658288200;  -3078.9658920001
33;107;  -3016.0648935401;  -3003.8476182800;  -3028.2821688001
34;108;  -3016.9433388350;  -3004.0055729800;  -3029.8811046901
35;109;  -3020.0145713651;  -3003.9271539700;  -3036.1019887601
36;110;  -3028.2433148300;  -3004.3323676000;  -3052.1542620601
37;112;  -3029.2212253301;  -3003.6170926300;  -3054.8253580302
38;113;  -3038.6956187101;  -3004.3278129800;  -3073.0634244402
39;118;  -3042.1788616551;  -3003.3016760900;  -3081.0560472201
40;120;  -3046.6662246300;  -3005.0519478700;  -3088.2805013901
41;128;  -3046.4860647551;  -3004.8924220300;  -3088.0797074801
42;135;  -3047.4496503101;  -3005.5495670000;  -3089.3497336203
43;136;  -3057.1079567402;  -3006.5799207300;  -3107.6359927503
44;140;  -3057.7104837951;  -3006.9142627800;  -3108.5067048103
45;150;  -3060.9982849152;  -3006.8384630800;  -3115.1581067504
46;153;  -3061.0270285802;  -3006.9160800900;  -3115.1379770704
47;192;  -3060.9982849152;  -3006.8384630800;  -3115.1581067504
48;205;  -3061.0270285802;  -3006.9160800900;  -3115.1379770704
49;225;  -3069.5330993203;  -3006.7627993800;  -3132.3033992605
50;525;  -3035.5783580499;  -3005.6947649300;  -3065.4619511699
51;526;  -3040.8225888300;  -3005.7179235600;  -3075.9272540999
52;527;  -3041.8432505849;  -3006.0354786700;  -3077.6510224999
53;534;  -3042.6998114500;  -3006.0226729800;  -3079.3769499199
54;539;  -3043.0109933500;  -3005.7746346300;  -3080.2473520699
55;541;  -3045.4318133500;  -3005.6134750000;  -3085.2501516999
56;565;  -3052.1658850400;  -3005.3080937600;  -3099.0236763200
57;577;  -3052.8933512750;  -3005.2514681300;  -3100.5352344200
58;582;  -3053.6008013500;  -3005.1629540000;  -3102.0386486999
59;586;  -3053.5992354900;  -3005.4998059400;  -3101.6986650401
60;663;  -3058.4442656001;  -3005.7521256400;  -3111.1364055602
61;702;  -3027.9271931950;  -3005.1879307900;  -3050.6664555999
62;704;  -3030.1046773700;  -3005.0388276500;  -3055.1705270899
63;705;  -3034.9460056850;  -3005.3083618900;  -3064.5836494800
64;706;  -3035.8987015700;  -3005.4245007000;  -3066.3729024400
65;708;  -3035.5395176350;  -3005.8003726200;  -3065.2786626499
66;711;  -3044.3154590950;  -3005.1411138300;  -3083.4898043600
67;713;  -3046.0171076550;  -3005.0493061300;  -3086.9849091801
68;720;  -3046.6617705950;  -3005.2016515500;  -3088.1218896400
69;726;  -3047.3665161350;  -3004.4036106500;  -3090.3294216200
70;728;  -3048.9992869901;  -3004.7119840100;  -3093.2865899701
