#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -3005.1977456338;  -2987.7956753800;  -3009.7848815500
2;1;  -3007.9666775148;  -2987.6030091400;  -3013.3344822200
3;2;  -3012.5398557344;  -2987.8653687800;  -3019.0439798800
4;5;  -3019.7491757306;  -2990.4876417300;  -3027.4624323500
5;6;  -3020.7346348625;  -2989.6489804200;  -3028.9287244100
6;33;  -3020.6259392829;  -2988.7976249200;  -3029.0157918600
7;37;  -3021.3888998892;  -2988.8640191100;  -3029.9623653801
8;54;  -3026.8202310229;  -2991.1409891900;  -3036.2251770601
9;63;  -3026.8427109146;  -2991.0790226100;  -3036.2699168001
10;76;  -3039.2678099648;  -2992.6346786900;  -3051.5601699102
11;81;  -3039.4277895125;  -2992.7187701900;  -3051.7401533301
12;90;  -2996.0803828965;  -2987.4825245900;  -2998.3467537401
13;91;  -2997.5359399616;  -2986.8957613600;  -3000.3406605900
14;92;  -2997.2199150782;  -2987.6153004000;  -2999.7516640200
15;94;  -3008.2285359109;  -2988.6798855500;  -3013.3815042000
16;98;  -3013.4693902657;  -2988.7339602800;  -3019.9895788200
17;99;  -3013.5094665666;  -2988.8323127100;  -3020.0142937000
18;102;  -3016.5578590882;  -2988.7880652500;  -3023.8778972700
19;104;  -3018.5505614345;  -2990.2106079400;  -3026.0208920700
20;106;  -3023.9575108755;  -2991.5603224400;  -3032.4973170301
21;109;  -3024.6125751277;  -2991.3525325300;  -3033.3798271700
22;112;  -3029.3500834058;  -2992.3035912700;  -3039.1154327100
23;115;  -3033.1402722142;  -2991.9076753300;  -3044.0090667500
24;121;  -3004.1655166224;  -2988.2093521600;  -3008.3715159100
25;124;  -3005.5855093808;  -2987.6371873200;  -3010.3166357100
26;125;  -3008.1179724484;  -2987.1628749800;  -3013.6416761700
27;126;  -3010.3355571353;  -2986.8314921100;  -3016.5311614100
28;128;  -3011.4431565351;  -2988.8251470700;  -3017.4051991000
29;129;  -3018.1642449323;  -2990.1716981600;  -3025.5430001500
30;130;  -3021.3849383884;  -2990.4600148100;  -3029.5366597401
31;135;  -3026.0584144698;  -2991.9495329600;  -3035.0494180201
32;138;  -3027.1637800586;  -2991.8580581600;  -3036.4702673101
33;148;  -3028.2279027555;  -2991.6294265600;  -3037.8751563401
34;157;  -3031.4033231792;  -2990.9657104000;  -3042.0625621800
35;161;  -3041.2472894086;  -2992.1065199600;  -3054.2006556001
36;182;  -3040.8472242598;  -2992.4239167400;  -3053.6114695401
37;256;  -3041.2472894086;  -2992.1065199600;  -3054.2006556001
38;258;  -3002.6248248852;  -2988.8588737800;  -3006.2534902000
39;259;  -3005.4225829981;  -2987.9667159700;  -3010.0238995900
40;261;  -3005.5629456671;  -2988.6141199900;  -3010.0306076100
41;263;  -3006.0162426490;  -2990.0961148700;  -3010.2127427700
42;268;  -3007.6757038003;  -2989.2217848600;  -3012.5401040200
43;270;  -3013.1300796106;  -2988.6381996700;  -3019.5860690701
44;271;  -3015.0443293933;  -2990.0867243000;  -3021.6230826701
45;273;  -3021.5432425165;  -2990.5005404900;  -3029.7260099301
46;277;  -3022.6620289074;  -2990.5220909200;  -3031.1340245801
47;319;  -3028.1649256735;  -2989.5896627200;  -3038.3332545901
48;338;  -3036.8301727883;  -2990.9343170200;  -3048.9281890202
49;445;  -3004.5140302803;  -2989.2288242700;  -3008.5431668401
50;446;  -3004.8540883567;  -2988.8534779800;  -3009.0718034601
51;447;  -3008.0680813023;  -2989.1476610600;  -3013.0554499301
52;451;  -3008.4117147919;  -2988.8673641400;  -3013.5635496901
53;453;  -3015.0199092745;  -2990.1192070800;  -3021.5836631101
54;460;  -3022.9699426768;  -2991.6746684100;  -3031.2192874101
55;465;  -3032.0585825933;  -2992.7624513800;  -3042.4169303201
56;468;  -3032.0472355471;  -2993.0494176400;  -3042.3269487401
57;470;  -3042.5678136598;  -2993.0579532200;  -3055.6184711802
58;715;  -3009.7596707001;  -2988.7060346501;  -3015.3093489098
59;720;  -2996.8379277562;  -2989.6052320701;  -2998.7444456399
60;721;  -3015.3361856226;  -2989.0097727600;  -3022.2757527101
61;722;  -3022.5856066718;  -2990.8455126100;  -3030.9522046301
62;724;  -3023.9508082879;  -2990.4586339600;  -3032.7792495901
63;725;  -3025.6386079744;  -2989.5844701200;  -3035.1423755300
64;729;  -3021.0461555048;  -2990.7590029500;  -3029.0297622400
65;731;  -3021.7238633876;  -2990.8642834600;  -3029.8583603399
66;732;  -3026.0944441965;  -2992.2390565500;  -3035.0186274900
67;744;  -3031.2897103427;  -2992.6396418700;  -3041.4777577800
68;750;  -3039.7642182230;  -2992.6652102600;  -3052.1793819301
69;779;  -2995.2717353759;  -2990.2187667300;  -2996.6036834500
70;780;  -2998.8884608208;  -2989.8688226100;  -3001.2660116399
71;782;  -3004.2467454914;  -2988.3192386200;  -3008.4451907200
72;785;  -3005.4446979577;  -2988.4377393300;  -3009.9276835799
73;786;  -3012.3158545623;  -2986.5804498600;  -3019.0996335900
74;790;  -3023.1835840230;  -2987.2744427300;  -3032.6491309000
75;797;  -3024.3810096619;  -2987.3977034400;  -3034.1297033400
76;804;  -3023.6154113626;  -2989.1604416600;  -3032.6976427700
77;813;  -3026.4003425388;  -2987.3029374800;  -3036.7063066200
78;815;  -3026.3394011710;  -2987.6018161500;  -3036.5505177201
79;837;  -3026.4003425388;  -2987.3029374800;  -3036.7063066200
80;853;  -3014.4722302612;  -2986.9989549800;  -3021.7141069999
81;854;  -3017.6623283308;  -2988.3866967200;  -3025.3793010400
82;855;  -3018.7366562818;  -2989.2405083200;  -3026.5117564699
83;858;  -3020.4076801242;  -2990.1957867300;  -3028.3714487600
84;859;  -3020.7627080599;  -2989.7144969200;  -3028.9469276600
85;862;  -3024.8171603669;  -2991.8478009300;  -3033.5077891600
86;867;  -3026.4468831652;  -2992.1412673700;  -3035.4897453101
87;869;  -3026.9083730477;  -2991.9501446000;  -3036.1232620201
88;881;  -3030.6315972704;  -2992.1926746700;  -3040.7639872601
89;883;  -3033.6293138193;  -2992.1621207800;  -3044.5599472302
90;889;  -3042.8288440010;  -2992.8092780700;  -3056.0138584302
91;1144;  -3010.4245350041;  -2989.2113642700;  -3016.0162661000
92;1145;  -3015.7149769029;  -2987.8118081900;  -3023.0701723200
93;1153;  -3016.0107286053;  -2989.3287205800;  -3023.0440295599
94;1156;  -3016.9594535838;  -2990.9716385600;  -3023.8097672500
95;1160;  -3020.8887597441;  -2991.4658937700;  -3028.6445430100
96;1162;  -3026.5269899239;  -2991.3906946200;  -3035.7888168100
97;1164;  -3026.5196678368;  -2991.5702882300;  -3035.7322242801
98;1194;  -2993.7557680612;  -2986.9492500100;  -2995.5499467401
99;1196;  -2994.6681381148;  -2988.7801046700;  -2996.2202068800
100;1197;  -2998.5258408516;  -2989.7948496700;  -3000.8273051400
101;1200;  -2999.5627154205;  -2989.8313178500;  -3002.1278839700
102;1203;  -3006.3541034766;  -2988.9837679100;  -3010.9328742200
103;1204;  -3008.7232240481;  -2989.5786588300;  -3013.7696766500
104;1206;  -3012.3860242064;  -2988.6150047700;  -3018.6519969000
105;1207;  -3016.8847988781;  -2990.6693751400;  -3023.7951095500
106;1209;  -3021.9532796097;  -2989.4790595500;  -3030.5133910800
107;1218;  -3021.8538982925;  -2989.3195275900;  -3030.4298653000
108;1221;  -3021.9040731991;  -2989.2925865100;  -3030.5003677600
109;1223;  -3023.1852404401;  -2991.2859754100;  -3031.5937954101
110;1227;  -3031.4033231792;  -2990.9657104000;  -3042.0625621800
111;1237;  -3031.3009308542;  -2991.9065185700;  -3041.6851851901
112;1240;  -3012.0101715891;  -2989.3769309800;  -3017.9762290400
113;1242;  -3014.2738033733;  -2987.5016883300;  -3021.3308562800
114;1248;  -3013.9901204517;  -2987.8239818600;  -3020.8874397001
115;1252;  -3014.0909054038;  -2986.4001307300;  -3021.3901143601
116;1260;  -3017.9762014755;  -2987.8311660200;  -3025.9223465500
117;1261;  -3020.7444597063;  -2988.6338656600;  -3029.2087204000
118;1276;  -3024.7137920095;  -2988.2691371500;  -3034.3204987301
119;1292;  -3030.0760612254;  -2987.6517305800;  -3041.2589933701
120;1318;  -3030.4391969387;  -2987.0347355200;  -3041.8804887501
121;1334;  -3030.5190341388;  -2987.4200289200;  -3041.8798085701
122;1348;  -3031.7896706575;  -2987.0749828700;  -3043.5763343901
123;1408;  -3031.7606046910;  -2987.4666300200;  -3043.4363696500
124;1423;  -3031.7606046910;  -2987.4666300200;  -3043.4363696500
125;1442;  -3006.4341432698;  -2989.9525391400;  -3010.7786469499
126;1444;  -3007.7075551318;  -2989.7475222500;  -3012.4417683999
127;1447;  -3013.8856846484;  -2989.7648156700;  -3020.2438766799
128;1448;  -3016.9043394351;  -2989.5135186300;  -3024.1244814099
129;1454;  -3018.6971452920;  -2989.4683655600;  -3026.4017679800
130;1469;  -3020.6446054264;  -2989.0934682900;  -3028.9613948799
131;1472;  -3022.4222746600;  -2990.5686023100;  -3030.8188115300
132;1473;  -3022.9522162855;  -2991.2987509100;  -3031.2959791700
133;1477;  -3023.4183481057;  -2990.8252591000;  -3032.0097930900
134;1485;  -3024.8250660923;  -2991.5683260900;  -3033.5914475800
135;1491;  -3027.0338823305;  -2991.6677155500;  -3036.3563026800
136;1515;  -3033.1402722142;  -2991.9076753300;  -3044.0090667500
137;1539;  -3039.7642182230;  -2992.6652102600;  -3052.1793819301
138;1567;  -3001.4967746026;  -2989.6444333000;  -3004.6210178499
139;1568;  -3005.7470638894;  -2989.6953489100;  -3009.9782500199
140;1570;  -3009.2143981680;  -2988.9866787400;  -3014.5463671198
141;1575;  -3012.8461044546;  -2989.7386745001;  -3018.9371568598
142;1578;  -3021.5935485938;  -2991.1729592300;  -3029.6123288899
143;1579;  -3006.5468386684;  -2989.3151455100;  -3011.0890636699
144;1581;  -3008.2048104381;  -2989.0685337400;  -3013.2490782099
145;1585;  -3013.7893800232;  -2989.8117688400;  -3020.1098097100
146;1586;  -3016.3239312160;  -2990.0177951800;  -3023.2581533900
147;1588;  -3017.8719402810;  -2990.0981859400;  -3025.1930224400
148;1589;  -3026.6538670516;  -2989.6925990800;  -3036.3967515100
149;1592;  -3000.0403065376;  -2989.4419588000;  -3002.8340006700
150;1594;  -3007.6404411556;  -2989.5118192800;  -3012.4190940000
151;1599;  -3012.4630708863;  -2988.4881105400;  -3018.7828018200
152;1601;  -3016.6922808554;  -2990.0408351500;  -3023.7175256700
153;1604;  -3016.7121395057;  -2989.6641635100;  -3023.8419085700
154;1609;  -3018.3318984103;  -2991.2601353000;  -3025.4679376900
155;1610;  -3021.3504356784;  -2991.5029296400;  -3029.2181528500
156;1613;  -3021.1606515409;  -2991.4632183100;  -3028.9888099499
157;1614;  -3025.4741148213;  -2992.1660696300;  -3034.2540202100
158;1619;  -3026.2787362184;  -2993.1976434800;  -3034.9988175900
159;1626;  -3027.0104990534;  -2992.7129940000;  -3036.0512232300
160;1627;  -3033.2363636000;  -2992.7902419300;  -3043.8978455201
161;1689;  -3033.8315369060;  -2993.0999952400;  -3044.5682547201
162;1737;  -3042.5678136598;  -2993.0579532200;  -3055.6184711802
163;1748;  -3042.8288440010;  -2992.8092780700;  -3056.0138584302
164;1792;  -3042.5678136598;  -2993.0579532200;  -3055.6184711802
165;1871;  -3042.8288440010;  -2992.8092780700;  -3056.0138584302
166;2002;  -2983.6486956203;  -2988.7176066100;  -2982.3125451900
167;2003;  -2985.5937654487;  -2987.6432944100;  -2985.0535154800
168;2004;  -2998.2936819187;  -2988.2746361500;  -3000.9346737100
169;2006;  -3006.4444918148;  -2988.8329661800;  -3011.0868395700
170;2007;  -3009.2653604636;  -2989.8673586000;  -3014.3786182401
171;2008;  -3011.9761496748;  -2989.7493155100;  -3017.8350795501
172;2009;  -3012.6851712404;  -2990.8338719400;  -3018.4451112001
173;2010;  -3022.0533068097;  -2991.0830890800;  -3030.2169675701
174;2014;  -3022.7162216678;  -2990.4598332900;  -3031.2189133301
175;2016;  -3021.9929628719;  -2990.2500351300;  -3030.3603077801
176;2019;  -3022.2034074269;  -2990.1850346800;  -3030.6433588501
177;2023;  -3021.9929628719;  -2990.2500351300;  -3030.3603077801
178;2026;  -3022.7162216678;  -2990.4598332900;  -3031.2189133301
179;2036;  -3029.1884029292;  -2989.6624244400;  -3039.6073377401
180;2052;  -3029.4167567906;  -2990.7820123000;  -3039.6007648702
181;2064;  -3033.3568760290;  -2992.7348986900;  -3044.0647130001
182;2077;  -3042.5678136598;  -2993.0579532200;  -3055.6184711802
183;2130;  -3042.8288440010;  -2992.8092780700;  -3056.0138584302
184;2134;  -3003.6087732791;  -2988.1943752700;  -3007.6719644800
185;2135;  -3006.0491885112;  -2988.5663388800;  -3010.6576176400
186;2136;  -3006.9991604391;  -2987.1725063700;  -3012.2254097101
187;2139;  -3012.2884663104;  -2986.7715969400;  -3019.0146400501
188;2143;  -3022.9604230213;  -2987.6000624900;  -3032.2813128600
189;2166;  -3024.5534913309;  -2989.2417036700;  -3033.8615775001
190;2171;  -3024.9569580347;  -2990.2528256200;  -3034.1048680200
191;2172;  -3026.3620533952;  -2989.0258123600;  -3036.2037796800
192;2183;  -3007.9324248388;  -2987.4555706900;  -3013.3300649900
193;2185;  -3009.0719462322;  -2987.6074812600;  -3014.7299177700
194;2187;  -3014.4098209775;  -2990.0363952700;  -3020.8345862400
195;2191;  -3017.8372234426;  -2989.7393948000;  -3025.2437306600
196;2205;  -3017.6355012944;  -2989.0361266600;  -3025.1742146000
197;2208;  -3018.3356782943;  -2988.8902550200;  -3026.0974076000
198;2227;  -3018.4343713304;  -2988.5266250400;  -3026.3179676600
199;2232;  -3018.3356782943;  -2988.8902550200;  -3026.0974076000
200;2239;  -3022.2521511052;  -2990.7322023900;  -3030.5607193800
201;2243;  -3022.1714499132;  -2990.7499938000;  -3030.4540558200
202;2245;  -3022.2521511052;  -2990.7322023900;  -3030.5607193800
203;2251;  -3024.1429472405;  -2990.4115915700;  -3033.0344360600
204;2252;  -2990.5495881017;  -2988.5080130600;  -2991.0877414400
205;2253;  -2998.0756459041;  -2988.2191114800;  -3000.6738001700
206;2254;  -3001.0553663558;  -2987.2908727800;  -3004.6836474700
207;2255;  -3001.5458741909;  -2988.5863021200;  -3004.9619803000
208;2257;  -3010.1920726577;  -2990.2619235300;  -3015.4456029300
209;2258;  -3017.8405577686;  -2990.0281813000;  -3025.1718206100
210;2260;  -3007.2132649587;  -2987.4933581400;  -3012.4113759600
211;2263;  -3007.0035615169;  -2987.3092270100;  -3012.1949317300
212;2268;  -3009.2704724125;  -2987.5896507300;  -3014.9854749600
213;2271;  -3014.6246746508;  -2989.5731497500;  -3021.2281849201
214;2272;  -3014.6939876085;  -2990.0709116600;  -3021.1845599601
215;2273;  -3017.7715143513;  -2990.6503602300;  -3024.9205729601
216;2285;  -3021.8980089963;  -2992.4607981100;  -3029.6575735401
217;2295;  -3025.0767469206;  -2992.1129935900;  -3033.7658979601
218;2320;  -3026.1150053046;  -2992.1748645300;  -3035.0615292801
219;2326;  -3030.6315972704;  -2992.1926746700;  -3040.7639872601
220;2334;  -3034.8181214762;  -2992.1937826300;  -3046.0537752102
221;2335;  -3038.0944463210;  -2992.9095876600;  -3050.0050457502
222;2338;  -3042.5678136598;  -2993.0579532200;  -3055.6184711802
223;2360;  -3009.6385218166;  -2990.3664005800;  -3014.7185978200
224;2362;  -3016.3706014801;  -2990.9663642500;  -3023.0670857100
225;2365;  -3019.3486340269;  -2990.5823550100;  -3026.9313428500
226;2371;  -3020.0581853038;  -2990.7617466500;  -3027.7806426900
227;2377;  -3023.4466108223;  -2992.0117968600;  -3031.7327378200
228;2389;  -3012.3019904675;  -2989.2688563600;  -3018.3734587001
229;2390;  -3013.8758718109;  -2989.2191697100;  -3020.3753079200
230;2392;  -3015.1333447430;  -2988.5856925300;  -3022.1312298900
231;2393;  -3016.9766603598;  -2987.3475985800;  -3024.7867962500
232;2409;  -3018.8680785964;  -2989.1486649500;  -3026.7020309800
233;2410;  -3022.3914658760;  -2990.6265300200;  -3030.7646120601
234;2411;  -3022.3954392125;  -2990.3539413500;  -3030.8414863500
235;2421;  -3024.9227201708;  -2991.0502936600;  -3033.8513948600
236;2426;  -3029.3525209280;  -2991.1834707100;  -3039.4137733301
237;2431;  -3029.2089029292;  -2991.1837855000;  -3039.2322150601
238;2432;  -3035.0503926368;  -2992.9017252700;  -3046.1606607301
239;2440;  -3038.8695100021;  -2992.9237337900;  -3050.9806851201
240;2442;  -3039.4277895125;  -2992.7187701900;  -3051.7401533301
241;2464;  -3039.7642182230;  -2992.6652102600;  -3052.1793819301
242;2476;  -3041.2472894086;  -2992.1065199600;  -3054.2006556001
243;2506;  -3040.8472242598;  -2992.4239167400;  -3053.6114695401
244;2560;  -3041.2472894086;  -2992.1065199600;  -3054.2006556001
245;2567;  -2989.8524425043;  -2987.3552972000;  -2990.5106828600
246;2568;  -2998.5498258146;  -2988.4616551900;  -3001.2090387200
247;2569;  -3008.4645047239;  -2990.3463850800;  -3013.2403892100
248;2570;  -3014.6290286360;  -2990.6852239000;  -3020.9405470400
249;2571;  -3017.4927291454;  -2990.6074364400;  -3024.5796153600
250;2573;  -3018.4723066999;  -2991.0266227600;  -3025.7069104400
251;2576;  -3018.6799327254;  -2989.5581372100;  -3026.3563546801
252;2578;  -3020.4217135400;  -2989.4537110100;  -3028.5847903800
253;2587;  -3024.6342410693;  -2992.1302748200;  -3033.2021935501
254;2593;  -3027.1637800586;  -2991.8580581600;  -3036.4702673101
255;2600;  -3027.3962520521;  -2992.6423947700;  -3036.5572693701
256;2603;  -3027.8379518008;  -2992.3279174500;  -3037.1982952301
257;2621;  -3028.6336155231;  -2991.9170991900;  -3038.3119841500
258;2622;  -3029.2793797655;  -2992.7356014700;  -3038.9122151401
259;2624;  -3032.0585825933;  -2992.7624513800;  -3042.4169303201
260;2649;  -3032.3534123091;  -2992.6180507800;  -3042.8275398901
261;2654;  -3032.0585825933;  -2992.7624513800;  -3042.4169303201
262;2666;  -3038.0944463210;  -2992.9095876600;  -3050.0050457502
263;2669;  -3038.3489576158;  -2993.1525054100;  -3050.2626130702
264;2672;  -3039.4751542844;  -2992.7886672700;  -3051.7815786501
265;2685;  -3042.5678136598;  -2993.0579532200;  -3055.6184711802
266;2711;  -3001.7159265618;  -2987.0074128200;  -3005.5930486900
267;2713;  -3003.8236897027;  -2987.3800908900;  -3008.1581752900
268;2715;  -3007.1343815205;  -2988.8784542600;  -3011.9465917000
269;2716;  -3012.5233786496;  -2989.7119969200;  -3018.5363935900
270;2721;  -3015.7804611205;  -2988.8280626600;  -3022.8850362200
271;2722;  -3018.1369967709;  -2988.5085696000;  -3025.9469653800
272;2729;  -3022.2167387436;  -2987.4793437100;  -3031.3734166601
273;2733;  -3030.0812248781;  -2988.7740019700;  -3040.9696906201
274;2735;  -3031.3001760234;  -2988.7420074600;  -3042.5183874601
275;2766;  -3015.4742886308;  -2987.9640549800;  -3022.7259074900
276;2777;  -3017.9530126072;  -2989.5588586100;  -3025.4376303400
277;2780;  -3022.6378570757;  -2989.2686041800;  -3031.4338966401
278;2783;  -3026.8309685993;  -2989.3953950900;  -3036.6988786401
279;2785;  -3029.5504813176;  -2990.8350418200;  -3039.7557603701
280;2814;  -3031.7942955978;  -2992.4311350700;  -3042.1703120601
281;2822;  -3038.8695100021;  -2992.9237337900;  -3050.9806851201
282;2826;  -3001.5970357689;  -2989.2694251800;  -3004.8465586399
283;2828;  -3009.3303345916;  -2988.0920454800;  -3014.9286868199
284;2832;  -3011.1736200538;  -2987.6414355600;  -3017.3766365399
285;2838;  -3015.9411477532;  -2988.0225048600;  -3023.3004221200
286;2840;  -3015.9161527441;  -2988.4512375800;  -3023.1558257800
287;2844;  -3020.1173195867;  -2989.2775739000;  -3028.2465882900
288;2868;  -3021.9617000017;  -2987.7811171900;  -3030.9716038100
289;2889;  -3022.6721962274;  -2987.5702524100;  -3031.9249681599
290;2905;  -3022.6799170881;  -2988.7396584200;  -3031.6264721399
291;2929;  -3022.6588448591;  -2990.5512570400;  -3031.1223131200
292;2935;  -3024.3376130179;  -2988.8031252800;  -3033.7044022900
293;2951;  -3020.7247364409;  -2989.7103135700;  -3028.9000495500
294;2952;  -2993.9988034969;  -2988.4198722400;  -2995.4693938099
295;2953;  -3001.3492968628;  -2988.4481848800;  -3004.7499930600
296;2955;  -3005.2675936981;  -2988.9840908400;  -3009.5598784500
297;2957;  -3005.2921665012;  -2989.3440135400;  -3009.4960539800
298;2959;  -3006.6956353318;  -2989.1383655100;  -3011.3236814100
299;2963;  -3008.8432812551;  -2989.5232086200;  -3013.9359971099
300;2964;  -3011.0816902711;  -2988.8825068100;  -3016.9333315000
301;2984;  -3012.9626116809;  -2988.6425317100;  -3019.3733151600
302;2985;  -3018.9875380378;  -2989.3009025600;  -3026.8128501900
303;2989;  -3020.8340044688;  -2988.0228398900;  -3029.4829335500
304;3005;  -3020.9265257164;  -2987.2394773400;  -3029.8063352599
305;3014;  -3007.9448524895;  -2990.0844484500;  -3012.6528038799
306;3018;  -3011.6038296516;  -2989.5016013800;  -3017.4299137699
