        T             E               F          S             
       1.0      -1524.0556      -1524.0557  0.119462E-03
     300.0      -1524.0329      -1524.1193  0.288136E-03
    1000.0      -1523.9637      -1524.3744  0.410652E-03
  Infinite      -1523.8346         -        0.464787E-03
