        T             E               F          S             
       1.0      -1537.6079      -1537.6081  0.119462E-03
     300.0      -1537.5987      -1537.6603  0.205212E-03
    1000.0      -1537.5949      -1537.8082  0.213270E-03
  Infinite      -1537.5932         -        0.214133E-03
