        T             E               F          S             
       1.0      -1481.6414      -1481.6415  0.119462E-03
     300.0      -1481.6297      -1481.6822  0.175009E-03
    1000.0      -1481.5147      -1481.8804  0.365622E-03
  Infinite      -1481.2991         -        0.464787E-03
