 Configuration with minimum energy:           37
 Configuration with maximum energy:           16

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.560225E+00      0.0000      0.0000
         2         2  0.530405E+00      0.0000      0.0000
         3         4  0.423920E+00      0.0000      0.0000
         4         4  0.613598E+00      0.0000      0.0000
         5         4  0.442993E+00      0.0000      0.0000
         6         4  0.296167E+00      0.0000      0.0000
         7         4  0.338332E+00      0.0000      0.0000
         8         4  0.469450E+00      0.0000      0.0000
         9         4  0.263227E+00      0.0000      0.0000
        10         4  0.446168E+00      0.0000      0.0000
        11         4  0.171440E+00      0.0000      0.0000
        12         4  0.257982E+00      0.0000      0.0000
        13         2  0.418091E+00      0.0000      0.0000
        14         2  0.432004E+00      0.0000      0.0000
        15         2  0.397774E+00      0.0000      0.0000
        16         2  0.815118E+00      0.0000      0.0000
        17         4  0.180111E+00      0.0000      0.0000
        18         4  0.571186E+00      0.0000      0.0000
        19         4  0.308802E+00      0.0000      0.0000
        20         4  0.420533E+00      0.0000      0.0000
        21         4  0.223036E+00      0.0000      0.0000
        22         4  0.591262E+00      0.0000      0.0000
        23         4  0.333564E+00      0.0000      0.0000
        24         4  0.218451E+00      0.0000      0.0000
        25         4  0.255450E+00      0.0000      0.0000
        26         4  0.190285E+00      0.0000      0.0000
        27         4  0.108830E+00      0.0000      0.0000
        28         4  0.388677E+00      0.0000      0.0000
        29         4  0.563043E+00      0.0000      0.0000
        30         4  0.376754E+00      0.0000      0.0000
        31         4  0.499969E+00      0.0000      0.0000
        32         4  0.313789E+00      0.0000      0.0000
        33         4  0.939389E-01      0.0000      0.0000
        34         4  0.228666E+00      0.0000      0.0000
        35         4  0.198424E+00      0.0000      0.0000
        36         4  0.474744E+00      0.0000      0.0000
        37         4  0.000000E+00      1.0000      0.2500
        38         4  0.332955E+00      0.0000      0.0000
        39         4  0.292649E+00      0.0000      0.0000
        40         4  0.471234E+00      0.0000      0.0000
        41         4  0.447626E+00      0.0000      0.0000
        42         4  0.276643E+00      0.0000      0.0000
        43         4  0.441778E+00      0.0000      0.0000
        44         4  0.293366E+00      0.0000      0.0000
        45         4  0.252889E+00      0.0000      0.0000
        46         4  0.437649E+00      0.0000      0.0000
        47         4  0.236093E+00      0.0000      0.0000
        48         4  0.297090E+00      0.0000      0.0000
        49         4  0.277560E+00      0.0000      0.0000
        50         4  0.291893E+00      0.0000      0.0000
        51         4  0.101501E+00      0.0000      0.0000
        52         4  0.498625E-01      0.0000      0.0000
        53         4  0.292654E+00      0.0000      0.0000
        54         2  0.656387E+00      0.0000      0.0000
        55         2  0.481074E+00      0.0000      0.0000
        56         2  0.408058E+00      0.0000      0.0000
        57         2  0.365346E+00      0.0000      0.0000
        58         4  0.463399E+00      0.0000      0.0000
        59         4  0.484498E+00      0.0000      0.0000
        60         4  0.294224E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.560225E+00      0.0000      0.0000
         2         2  0.530405E+00      0.0000      0.0000
         3         4  0.423920E+00      0.0000      0.0000
         4         4  0.613598E+00      0.0000      0.0000
         5         4  0.442993E+00      0.0000      0.0000
         6         4  0.296167E+00      0.0000      0.0000
         7         4  0.338332E+00      0.0000      0.0000
         8         4  0.469450E+00      0.0000      0.0000
