        T             E               F          S             
       1.0      -1466.8564      -1466.8565  0.119462E-03
     300.0      -1466.8538      -1466.8929  0.130251E-03
    1000.0      -1466.8198      -1467.0081  0.188297E-03
  Infinite      -1466.7633         -        0.214133E-03
