 Configuration with minimum energy:            4
 Configuration with maximum energy:            2

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.168596E+00      0.0000      0.0000
         2         2  0.201414E+00      0.0000      0.0000
         3         4  0.943568E-01      0.0000      0.0000
         4         4  0.000000E+00      1.0000      0.2500


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.168596E+00      0.0007      0.0004
         2         2  0.201414E+00      0.0002      0.0001
         3         4  0.943568E-01      0.0253      0.0063
         4         4  0.000000E+00      0.9738      0.2434


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.168596E+00      0.0486      0.0243
         2         2  0.201414E+00      0.0332      0.0166
         3         4  0.943568E-01      0.2302      0.0575
         4         4  0.000000E+00      0.6880      0.1720


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.168596E+00      0.1667      0.0833
         2         2  0.201414E+00      0.1667      0.0833
         3         4  0.943568E-01      0.3333      0.0833
         4         4  0.000000E+00      0.3333      0.0833
