 Configuration with minimum energy:           38
 Configuration with maximum energy:          235

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
       136         8  0.194450E-01      0.0000      0.0000
       137         8  0.249157E+00      0.0000      0.0000
       138         8  0.119233E+00      0.0000      0.0000
       139         8  0.150145E+00      0.0000      0.0000
       140         8  0.119148E+00      0.0000      0.0000
       141         8  0.202021E+00      0.0000      0.0000
       142         8  0.144967E+00      0.0000      0.0000
       143         8  0.127318E+00      0.0000      0.0000
       144         8  0.101373E+00      0.0000      0.0000
       145         8  0.143679E+00      0.0000      0.0000
       146         8  0.876057E-01      0.0000      0.0000
       147         8  0.783313E-01      0.0000      0.0000
       148         8  0.111684E+00      0.0000      0.0000
       149         8  0.301246E+00      0.0000      0.0000
       150         8  0.140996E+00      0.0000      0.0000
       151         8  0.167633E+00      0.0000      0.0000
       152         8  0.206197E+00      0.0000      0.0000
       153         8  0.174316E+00      0.0000      0.0000
       154         8  0.227734E+00      0.0000      0.0000
       155         8  0.192367E+00      0.0000      0.0000
       156         8  0.157125E+00      0.0000      0.0000
       157         8  0.129450E+00      0.0000      0.0000
       158         8  0.138004E+00      0.0000      0.0000
       159         8  0.174143E+00      0.0000      0.0000
       160         8  0.995686E-01      0.0000      0.0000
       161         8  0.154606E+00      0.0000      0.0000
       162         8  0.423447E+00      0.0000      0.0000
       163         8  0.211654E+00      0.0000      0.0000
       164         8  0.255584E+00      0.0000      0.0000
       165         8  0.271955E+00      0.0000      0.0000
       166         8  0.259483E+00      0.0000      0.0000
       167         8  0.236977E+00      0.0000      0.0000
       168         8  0.393881E+00      0.0000      0.0000
       169         8  0.307110E+00      0.0000      0.0000
       170         8  0.168796E+00      0.0000      0.0000
       171         8  0.269730E+00      0.0000      0.0000
       172         8  0.261938E+00      0.0000      0.0000
       173         8  0.205339E+00      0.0000      0.0000
       174         8  0.248357E+00      0.0000      0.0000
       175         8  0.408643E+00      0.0000      0.0000
       176         8  0.234311E+00      0.0000      0.0000
       177         8  0.165078E+00      0.0000      0.0000
       178         8  0.129347E+00      0.0000      0.0000
       179         8  0.183175E+00      0.0000      0.0000
       180         8  0.130166E+00      0.0000      0.0000
       181         8  0.126618E+00      0.0000      0.0000
       182         8  0.230225E+00      0.0000      0.0000
       183         8  0.224439E+00      0.0000      0.0000
       184         8  0.160982E+00      0.0000      0.0000
       185         8  0.902185E-01      0.0000      0.0000
       186         8  0.108468E+00      0.0000      0.0000
       187         8  0.136465E+00      0.0000      0.0000
       188         8  0.237038E+00      0.0000      0.0000
       189         8  0.131602E+00      0.0000      0.0000
       190         8  0.285804E+00      0.0000      0.0000
       191         8  0.332771E+00      0.0000      0.0000
       192         8  0.292728E+00      0.0000      0.0000
       193         8  0.252496E+00      0.0000      0.0000
       194         8  0.293648E+00      0.0000      0.0000
       195         8  0.282052E+00      0.0000      0.0000
       196         8  0.297185E+00      0.0000      0.0000
       197         8  0.294767E+00      0.0000      0.0000
       198         8  0.439821E+00      0.0000      0.0000
       199         8  0.300085E+00      0.0000      0.0000
       200         8  0.177142E+00      0.0000      0.0000
       201         8  0.182439E+00      0.0000      0.0000
       202         8  0.145705E+00      0.0000      0.0000
       203         8  0.164823E+00      0.0000      0.0000
       204         8  0.130502E+00      0.0000      0.0000
       205         8  0.272665E+00      0.0000      0.0000
       206         8  0.189819E+00      0.0000      0.0000
       207         8  0.175495E+00      0.0000      0.0000
       208         8  0.343583E+00      0.0000      0.0000
       209         8  0.207373E+00      0.0000      0.0000
       210         8  0.148602E+00      0.0000      0.0000
       211         8  0.177472E+00      0.0000      0.0000
       212         8  0.183638E+00      0.0000      0.0000
       213         8  0.329963E+00      0.0000      0.0000
       214         8  0.188742E+00      0.0000      0.0000
       215         8  0.330095E+00      0.0000      0.0000
       216         8  0.255740E+00      0.0000      0.0000
       217         8  0.126085E+00      0.0000      0.0000
       218         8  0.202818E+00      0.0000      0.0000
       219         8  0.178403E+00      0.0000      0.0000
       220         8  0.148823E+00      0.0000      0.0000
       221         8  0.175501E+00      0.0000      0.0000
       222         8  0.317040E+00      0.0000      0.0000
       223         8  0.167885E+00      0.0000      0.0000
       224         8  0.172262E+00      0.0000      0.0000
       225         8  0.296081E+00      0.0000      0.0000
       226         8  0.250082E+00      0.0000      0.0000
       227         8  0.153657E+00      0.0000      0.0000
       228         8  0.155363E+00      0.0000      0.0000
       229         8  0.216329E+00      0.0000      0.0000
       230         8  0.295007E+00      0.0000      0.0000
       231         8  0.207165E+00      0.0000      0.0000
       232         8  0.334306E+00      0.0000      0.0000
       233         8  0.279312E+00      0.0000      0.0000
       234         8  0.306384E+00      0.0000      0.0000
       235         8  0.468837E+00      0.0000      0.0000
       236         8  0.232215E+00      0.0000      0.0000
       237         8  0.281141E+00      0.0000      0.0000
       238         8  0.305699E+00      0.0000      0.0000
       239         8  0.244640E+00      0.0000      0.0000
       240         8  0.267204E+00      0.0000      0.0000
       241         8  0.317875E+00      0.0000      0.0000
       242         8  0.366626E+00      0.0000      0.0000
       243         8  0.160308E+00      0.0000      0.0000
       244         8  0.114389E+00      0.0000      0.0000
       245         8  0.163779E+00      0.0000      0.0000
       246         8  0.236132E+00      0.0000      0.0000
       247         8  0.124845E+00      0.0000      0.0000
       248         8  0.175154E+00      0.0000      0.0000
