        T             E               F          S             
       1.0      -2940.9187      -2940.9189  0.179193E-03
     300.0      -2940.8773      -2941.0250  0.492406E-03
    1000.0      -2940.8089      -2941.4364  0.627480E-03
  Infinite      -2940.7451         -        0.656024E-03
