        T             E               F          S             
       1.0      -3061.9538      -3061.9538  0.597308E-04
     300.0      -3061.8947      -3061.9901  0.317992E-03
    1000.0      -3061.6972      -3062.4338  0.736537E-03
  Infinite      -3061.5547         -        0.798919E-03
