#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;1;  -2976.3950614755;  -3015.1594391800;  -2900.8923634402
2;2;  -3051.4326418152;  -3018.4220498300;  -3115.7284955401
3;3;  -3060.1912210862;  -3018.0458088000;  -3142.2792752703
4;4;  -3036.0468431687;  -3015.5022539600;  -3076.0622389301
5;5;  -3031.2028445739;  -3018.9979488000;  -3054.9747355401
6;6;  -3042.1966740858;  -3018.1003821100;  -3089.1298422302
7;7;  -3026.1676563568;  -3016.9991061200;  -3044.0255537601
8;8;  -3045.3571164465;  -3016.4172563600;  -3101.7242670803
9;9;  -3020.0731876836;  -3016.6685797100;  -3026.7044585303
10;10;  -3020.7317788188;  -3014.3125841300;  -3033.2346628303
11;11;  -3024.6933328862;  -3020.5353996400;  -3032.7918810102
12;12;  -3021.5645393507;  -3015.4809360200;  -3033.4137806503
13;13;  -3006.1296386046;  -3015.8477470400;  -2987.2013479903
14;14;  -3052.7616409013;  -3017.7559788799;  -3120.9433604501
15;15;  -3035.5050688176;  -3017.8351413700;  -3069.9213880103
16;16;  -3016.7122890521;  -3018.0066005900;  -3014.1913144102
17;17;  -3049.6195531754;  -3018.6177022799;  -3110.0029135002
18;18;  -3038.4607335872;  -3019.1232259300;  -3076.1250555202
19;19;  -2999.7713971750;  -3018.3365744900;  -2963.6113693402
20;20;  -3021.0467630287;  -3018.5136369100;  -3025.9806190004
21;21;  -3004.0506169342;  -3016.8381086600;  -2979.1439840003
22;22;  -3041.2645136231;  -3018.5097249800;  -3085.5847900603
23;23;  -3040.1859549627;  -3014.3488718000;  -3090.5097213602
24;24;  -3035.5107275576;  -3017.0722097900;  -3071.4240562801
25;25;  -3063.0903964009;  -3016.3866186099;  -3154.0569342503
26;26;  -3001.0620327257;  -3017.1197347200;  -2969.7858999303
27;27;  -3031.0232154651;  -3020.3270595600;  -3051.8564824301
28;28;  -3010.1073986018;  -3017.3396932400;  -2996.0208121401
29;29;  -3038.3702147616;  -3017.4077901400;  -3079.1994427801
30;30;  -3008.9438486744;  -3014.4129085100;  -2998.2915746601
31;31;  -2987.0393434432;  -3014.4680764000;  -2933.6154665601
32;32;  -3015.8804989767;  -3017.0484444500;  -3013.6056518202
33;33;  -3029.3855084573;  -3019.1044706200;  -3049.4102358304
34;34;  -3039.5464620477;  -3018.0648547900;  -3081.3869197602
35;35;  -3014.6024841623;  -3015.4571979000;  -3012.9377291202
36;36;  -3043.8641645986;  -3018.2319775600;  -3093.7888478403
37;37;  -2952.1813039843;  -3015.2098934100;  -2829.4183748003
38;38;  -3039.0149134239;  -3016.5840726800;  -3082.7042255102
39;39;  -3016.6513200651;  -3013.9989704700;  -3021.8173916602
40;40;  -3010.1596437924;  -3017.3648957500;  -2996.1257292802
41;41;  -3032.9760177452;  -3017.0541259000;  -3063.9876284901
42;42;  -2992.9769973529;  -3017.6031059600;  -2945.0118873203
43;43;  -3015.7374701241;  -3017.0831517000;  -3013.1164403102
44;44;  -3015.8198475793;  -3017.2854212300;  -3012.9652998902
45;45;  -3054.6883108234;  -3017.5475779400;  -3127.0285805702
46;46;  -3025.5277755930;  -3017.1965566200;  -3041.7547743903
47;47;  -3024.8768416458;  -3018.6247011800;  -3037.0543484604
48;48;  -3035.1371894667;  -3019.1529206100;  -3066.2702940402
49;49;  -3067.4723439495;  -3019.4500137600;  -3161.0070711905
50;50;  -2966.7849638117;  -3012.4369161200;  -2877.8671022602
51;51;  -3062.9162046664;  -3018.9737228800;  -3148.5044722902
52;52;  -3038.6843533482;  -3017.7063357900;  -3079.5439522603
53;53;  -3009.9708337519;  -3015.8609314500;  -2998.4984899602
54;54;  -3000.9060351290;  -3017.6882081000;  -2968.2188255504
55;55;  -2994.9132910389;  -3013.7808649500;  -2958.1642750602
56;56;  -3016.9957979019;  -3013.9144021200;  -3022.9975373602
57;57;  -3041.3827607039;  -3017.0260148000;  -3088.8232238302
58;58;  -3020.9426233388;  -3015.7021446100;  -3031.1496821503
59;59;  -3047.6826773210;  -3019.9511214100;  -3101.6963727803
60;60;  -2995.9552726996;  -3017.8976936300;  -2953.2172725103
61;61;  -3019.1596847028;  -3013.9661563800;  -3029.2752966103
62;62;  -3041.4220338392;  -3016.7803957000;  -3089.4173912703
63;63;  -2956.6529800564;  -3011.1404221400;  -2850.5259343001
64;64;  -2997.9511310222;  -3015.5976277500;  -2963.5804486402
65;65;  -2999.7764083716;  -3018.8652238400;  -2962.5964726804
66;66;  -2981.4671224845;  -3016.2880308400;  -2913.6452539401
67;67;  -3035.2696096471;  -3017.3741350400;  -3070.1252347201
68;68;  -2949.6659384174;  -3013.3510884700;  -2825.6242037503
69;69;  -2986.9986286777;  -3016.0465523700;  -2930.4209988801
70;70;  -3021.8042542849;  -3018.6834066500;  -3027.8828354604
71;71;  -3075.1687077366;  -3018.7289502100;  -3185.0983447402
72;72;  -3034.4971981231;  -3017.9410243400;  -3066.7442213901
73;73;  -3011.3917744341;  -3018.1467580800;  -2998.2348628401
74;74;  -3060.5031620069;  -3017.5308449200;  -3144.2018068202
75;75;  -3028.8176309962;  -3014.0371083700;  -3057.6061580600
76;76;  -3001.4296849822;  -3016.3867455500;  -2972.2973089603
77;77;  -3023.8217560354;  -3017.2834495900;  -3036.5566380701
78;78;  -2992.6826324190;  -3016.0721654500;  -2947.1260427302
79;79;  -3022.1531629549;  -3017.4454438300;  -3031.3225477503
80;80;  -2977.2852982540;  -3014.9525303900;  -2903.9195479904
81;81;  -2999.9289086204;  -3016.0255971000;  -2968.5768405203
82;82;  -3057.8591858101;  -3018.2042872500;  -3135.0963816303
83;83;  -3040.9948845456;  -3018.3028924600;  -3085.1928499902
84;84;  -2993.5157812508;  -3016.2378524000;  -2949.2592297902
85;85;  -3059.2478389871;  -3017.9851049900;  -3139.6166706204
86;86;  -2976.2087616148;  -3015.5220281700;  -2899.6369740802
87;87;  -3067.5818068058;  -3018.1482018500;  -3163.8653219502
88;88;  -3027.4190457325;  -3017.1849213000;  -3047.3523982701
89;89;  -2999.9136852945;  -3014.7294729000;  -2971.0564714303
90;90;  -3036.2513989795;  -3016.9763664600;  -3073.7940359602
91;91;  -3000.3487063290;  -3013.4885529300;  -2974.7557798101
92;92;  -3040.6066232980;  -3018.8299618300;  -3083.0217681400
93;93;  -3026.4979759135;  -3018.1727680900;  -3042.7132665903
94;94;  -3006.2196782188;  -3014.1038948700;  -2990.8633210601
95;95;  -3011.5801604792;  -3014.8268791100;  -3005.2564160802
96;96;  -3030.9881520570;  -3018.0833041500;  -3056.1233636201
97;97;  -2991.8910922317;  -3016.7549416900;  -2943.4629262502
98;98;  -3041.0112648032;  -3018.7730301500;  -3084.3254314502
99;99;  -2970.5981067632;  -3015.2492823600;  -2883.6294920802
100;100;  -3024.0671359074;  -3015.2163291600;  -3041.3061535002
101;101;  -3020.0298575729;  -3017.4883686000;  -3024.9800021603
102;102;  -3052.1899768677;  -3018.1762331399;  -3118.4397033901
103;103;  -2968.9557512055;  -3014.9304317100;  -2879.4093009603
104;104;  -3018.9185711646;  -3015.4856846900;  -3025.6049210102
105;105;  -3045.9401659137;  -3015.9873087799;  -3104.2803653801
106;106;  -3055.5475777890;  -3014.4515740000;  -3135.5916633202
107;107;  -3019.5273339538;  -3016.3703217300;  -3025.6763541302
108;108;  -2992.3438980383;  -3016.8077963600;  -2944.6947305002
109;109;  -3058.2325600000;  -3017.3873241500;  -3137.7882162802
110;110;  -3020.9253149287;  -3016.8339652200;  -3028.8941760301
111;111;  -3041.7779877031;  -3017.4722035000;  -3089.1191909901
112;112;  -3018.8423367549;  -3014.2740299800;  -3027.7401833704
113;113;  -3039.0300019156;  -3017.0338461000;  -3081.8726633702
114;114;  -2987.2721022144;  -3016.4390002800;  -2930.4627419801
115;115;  -2998.1850500239;  -3017.0375019500;  -2961.4654876502
116;116;  -3038.3665919373;  -3019.2744378500;  -3075.5530303702
117;117;  -3024.6835448137;  -3019.4887888700;  -3034.8015478002
118;118;  -3053.0317285145;  -3017.1883583500;  -3122.8450807301
119;119;  -3058.0224831270;  -3017.6836082000;  -3136.5918830002
120;120;  -2999.1756848093;  -3016.7076425300;  -2965.0280939504
121;121;  -3039.6362354193;  -3017.3453005300;  -3083.0530481102
122;122;  -3039.3682669048;  -3019.0103912300;  -3079.0199943601
123;123;  -3034.5783714549;  -3015.7396539700;  -3071.2711827902
124;124;  -3029.1549780766;  -3018.4548317300;  -3049.9960173602
125;125;  -2999.9504870449;  -3015.9963152000;  -2968.6974813303
126;126;  -3010.2239942854;  -3015.9222786000;  -2999.1252519502
127;127;  -3007.4451586331;  -3017.9848322900;  -2986.9166774701
128;128;  -3028.9104328109;  -3018.6266821000;  -3048.9404441401
129;129;  -3038.1062835274;  -3017.5541476100;  -3078.1363782702
130;130;  -3036.6433139041;  -3018.0128660600;  -3072.9304713702
131;131;  -3058.3559525743;  -3018.1699310200;  -3136.6276347303
132;132;  -3005.5131674987;  -3017.3236647400;  -2982.5094599802
133;133;  -3011.6409854472;  -3014.9309671500;  -3005.2329760902
134;134;  -3027.3702697623;  -3017.4573218800;  -3046.6780558001
135;135;  -3022.5589794977;  -3017.3642302100;  -3032.6769695203
136;136;  -3036.7347744697;  -3016.5140857000;  -3076.1192983201
137;137;  -2993.3969059686;  -3015.3981076600;  -2950.5444164901
138;138;  -3050.4021454071;  -3016.6801728900;  -3116.0835792102
139;139;  -3028.7965980240;  -3016.7489376600;  -3052.2622362301
140;140;  -3007.1178433252;  -3016.0596556200;  -2989.7015711301
141;141;  -3061.7556008501;  -3019.6167631700;  -3143.8308494502
142;142;  -3051.8537798991;  -3021.9220031100;  -3110.1529204604
143;143;  -3006.1183784221;  -3016.6797758400;  -2985.5475851500
144;144;  -3020.2944022543;  -3016.5660251900;  -3027.5562891803
145;145;  -3011.3392292673;  -3017.6474909900;  -2999.0524131701
146;146;  -3019.8446101440;  -3015.9734797600;  -3027.3845425704
147;147;  -3022.9294212369;  -3016.3850956900;  -3035.6760268803
148;148;  -3077.8602708937;  -3019.1945126700;  -3192.1255652302
