#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -2969.7492364027;  -3003.2483958899;  -2968.5541876100
2;1;  -2974.3415723234;  -3003.6025842099;  -2973.2977151800
3;5;  -2975.5907259232;  -3000.2421593799;  -2974.7113108500
4;6;  -2978.9711220005;  -3002.5104494399;  -2978.1313801900
5;7;  -2980.8101751998;  -3000.8819558598;  -2980.0941346300
6;13;  -2980.6657300915;  -3000.6738851798;  -2979.9519593000
7;19;  -2984.7761597762;  -3000.8118637298;  -2984.2041021800
8;34;  -2992.3217026383;  -3004.9197099297;  -2991.8722814100
9;39;  -2992.3217026383;  -3004.9197099297;  -2991.8722814100
10;64;  -2967.9658713342;  -2996.6191864899;  -2966.9436931600
11;66;  -2971.7675029006;  -2995.7983937599;  -2970.9102250600
12;70;  -2976.1791681392;  -3002.3950181598;  -2975.2439440800
13;74;  -2977.4793075130;  -2996.7410948398;  -2976.7921626400
14;75;  -2972.2783648739;  -2991.2514357399;  -2971.6015196700
15;79;  -2973.8712574013;  -2995.9616971698;  -2973.0832032000
16;80;  -2975.9387746992;  -2998.4801703698;  -2975.1346331000
17;83;  -2976.7912636664;  -3004.2044525098;  -2975.8133257500
18;85;  -2977.0826190728;  -3002.8962282699;  -2976.1617445500
19;86;  -2977.8896065161;  -3002.1920597799;  -2977.0226409600
20;92;  -2979.2275181457;  -3004.7703696798;  -2978.3163026300
21;93;  -2980.0442644989;  -3002.6824878398;  -2979.2366686700
22;107;  -2980.1593775796;  -3004.0251537298;  -2979.3079900400
23;108;  -2980.5091173997;  -3002.0202723799;  -2979.7417286000
24;114;  -2983.0665839737;  -3005.2167135098;  -2982.2764004000
25;118;  -2975.6327906908;  -3007.1190947299;  -2974.5095484900
26;122;  -2979.2475415892;  -3009.0349662498;  -2978.1849052000
27;123;  -2980.5453476980;  -3005.3665301598;  -2979.6598770000
28;126;  -2984.8454334825;  -3003.4034658298;  -2984.1833943600
29;131;  -2985.3228659482;  -3003.0105504198;  -2984.6918756100
30;139;  -2990.7268078486;  -3001.0583108297;  -2990.3582418800
