#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -3027.1510174994;  -3033.4003980200;  -2937.2104574006
2;2;  -3035.9944021220;  -3034.1326309700;  -3062.7888563305
3;4;  -3045.3862213056;  -3033.7972633300;  -3212.1735321206
4;6;  -3046.2942031252;  -3034.3945990000;  -3217.5523072606
5;7;  -3054.2650383736;  -3034.4963882400;  -3338.7737924107
6;11;  -3055.2335296744;  -3034.3053116800;  -3356.4306870707
7;16;  -3063.7293791095;  -3034.6420164100;  -3482.3522625109
8;27;  -3065.0877099992;  -3035.1032161300;  -3496.6220299211
9;89;  -3064.7106158534;  -3035.3775730100;  -3486.8693072713
10;99;  -3065.0486469936;  -3036.1858383300;  -3480.4397675515
11;144;  -3064.8711106153;  -3035.8106080700;  -3483.1074249313
12;172;  -3064.9332120398;  -3034.8835724900;  -3497.4051031310
13;178;  -3064.8711106153;  -3035.8106080700;  -3483.1074249313
14;180;  -3039.2904604016;  -3034.1369554000;  -3113.4592719802
15;184;  -3041.4991173502;  -3034.8560239200;  -3137.1059606103
16;185;  -3044.6258305615;  -3034.8171931900;  -3185.7909166205
17;186;  -3044.5280074371;  -3034.4945277400;  -3188.9290053805
18;188;  -3047.1608120171;  -3034.3966506400;  -3230.8615515808
19;189;  -3047.8190094995;  -3035.4314128200;  -3226.1002615308
20;192;  -3047.6300636569;  -3034.6332876100;  -3234.6785740308
21;193;  -3048.6326973396;  -3035.1108737100;  -3243.2376484707
22;194;  -3055.8753177906;  -3035.1658023300;  -3353.9249266709
23;196;  -3057.0056402503;  -3035.2274781600;  -3370.4351217608
24;203;  -3064.8474471482;  -3035.7491468000;  -3483.6277442711
25;204;  -3064.8573598532;  -3035.9192341600;  -3481.3324367811
26;220;  -3037.3887042560;  -3035.8668355500;  -3059.2913109807
27;221;  -3047.3365772053;  -3036.2248927000;  -3207.2550082808
28;222;  -3055.0910729253;  -3036.0124003100;  -3329.6697284109
29;225;  -3055.1133403573;  -3035.7236158100;  -3334.1686291509
30;226;  -3055.2875451354;  -3035.1853432700;  -3344.5967477107
31;234;  -3063.1196920063;  -3033.7462575700;  -3485.8596958409
32;235;  -3027.3867583439;  -3035.2519070500;  -2914.1921980906
33;236;  -3036.5110346108;  -3035.0754648900;  -3057.1716335807
34;237;  -3043.7948105785;  -3034.6043073100;  -3176.0637624906
35;238;  -3044.2628723526;  -3035.0865699100;  -3176.3274471706
36;240;  -3045.3066152385;  -3034.6394975200;  -3198.8268784206
37;241;  -3045.5683686614;  -3034.2300523100;  -3208.7484662506
38;242;  -3046.8851278920;  -3034.3057034900;  -3227.9271484108
39;243;  -3054.8646733877;  -3034.5170297900;  -3347.7062527807
40;245;  -3061.4927173779;  -3034.2334458300;  -3453.8058663106
41;246;  -3062.7074780992;  -3034.5781157200;  -3467.5429012708
42;248;  -3063.7008747101;  -3034.5640856100;  -3483.0350987211
43;260;  -3063.8366913413;  -3035.2205759800;  -3475.6774225910
44;268;  -3064.0334817862;  -3035.1320475300;  -3479.9804986308
45;304;  -3064.4334606539;  -3034.7939894100;  -3491.0022439009
46;315;  -3064.8573598532;  -3035.9192341600;  -3481.3324367811
47;323;  -3064.5290965414;  -3035.0454532500;  -3488.8552169711
48;330;  -3064.7106158534;  -3035.3775730100;  -3486.8693072713
49;335;  -3065.0486469936;  -3036.1858383300;  -3480.4397675515
50;360;  -3064.7106158534;  -3035.3775730100;  -3486.8693072713
51;361;  -3064.5290965414;  -3035.0454532500;  -3488.8552169711
52;369;  -3065.0877099992;  -3035.1032161300;  -3496.6220299211
53;434;  -3064.3100437652;  -3034.1364768500;  -3498.5654871011
54;455;  -3036.6300013320;  -3034.2520636500;  -3070.8530809306
55;456;  -3046.8841880997;  -3034.7144458400;  -3222.0300976006
56;457;  -3046.9279242594;  -3035.4541372300;  -3212.0577044806
57;459;  -3047.2381319376;  -3035.2489316100;  -3219.7856971006
58;460;  -3048.8187046656;  -3034.8665051400;  -3249.6175895808
59;463;  -3056.3237047335;  -3034.2845897400;  -3373.5087985307
60;480;  -3062.1407475318;  -3034.5990810200;  -3458.5181010906
61;489;  -3062.0407633302;  -3035.1106993500;  -3449.6159845706
62;492;  -3062.6959492772;  -3034.8798169800;  -3463.0233913908
63;500;  -3063.2352145726;  -3034.7827755700;  -3472.7203294009
64;501;  -3064.0072191073;  -3035.3750367600;  -3476.0791850711
65;506;  -3064.5290965414;  -3035.0454532500;  -3488.8552169711
66;511;  -3064.5396707471;  -3035.4780779600;  -3482.7916757311
67;520;  -3064.5290965414;  -3035.0454532500;  -3488.8552169711
68;544;  -3065.0877099992;  -3035.1032161300;  -3496.6220299211
69;553;  -3064.8573598532;  -3035.9192341600;  -3481.3324367811
70;596;  -3036.2382324571;  -3035.9365977300;  -3040.5793341405
71;597;  -3046.3751966058;  -3035.0009958300;  -3210.0717398206
72;598;  -3047.5292303688;  -3034.3356716900;  -3237.4098198708
73;600;  -3048.5119748844;  -3034.6026195600;  -3248.6942496510
74;603;  -3056.1612336189;  -3034.6446529500;  -3365.8260572609
75;608;  -3056.2831616112;  -3034.8495167400;  -3364.7543802109
76;618;  -3063.8121790852;  -3034.6812841200;  -3483.0615752011
77;620;  -3064.2037294425;  -3034.8811748300;  -3486.2114751209
78;631;  -3064.1140281585;  -3035.1260316600;  -3481.3068415310
79;634;  -3064.0421177231;  -3035.0242846600;  -3481.6643364308
80;635;  -3064.2361404610;  -3034.5877419400;  -3490.9334043307
81;656;  -3064.0206480675;  -3034.0964028200;  -3494.6878748809
82;661;  -3065.0877099992;  -3035.1032161300;  -3496.6220299211
83;708;  -3027.1675331841;  -3034.1620117600;  -2926.5035843906
84;709;  -3027.9568757524;  -3034.1051949600;  -2939.4707815908
85;710;  -3028.3006342835;  -3034.0177664700;  -2946.0201475508
86;711;  -3038.1344402698;  -3033.8958921100;  -3099.1352697509
87;712;  -3045.9018373034;  -3034.4324106200;  -3210.9688637908
88;716;  -3046.2472267826;  -3034.0691622900;  -3221.5129091610
89;721;  -3048.0065620794;  -3035.0736474500;  -3234.1359842910
