#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;1;  -3046.1300477809;  -3028.9046253500;  -3173.4096604505
2;2;  -3039.9134944374;  -3028.4695724600;  -3124.4732759202
3;3;  -3023.4216757667;  -3029.4616479700;  -2978.7919823205
4;4;  -3046.7196736067;  -3027.7359790000;  -3186.9912580205
5;5;  -3041.1800240191;  -3028.3481814100;  -3135.9952289102
6;6;  -3027.7898502124;  -3028.5032078500;  -3022.5188106101
7;7;  -3024.2238348810;  -3027.9514363800;  -2996.6803782904
8;8;  -3034.0758512344;  -3028.7122745400;  -3073.7076203204
9;9;  -3033.1412025266;  -3026.4719228400;  -3082.4208842705
10;10;  -3032.4960325596;  -3028.6340942500;  -3061.0321113803
11;11;  -3029.1353915280;  -3028.4072532800;  -3034.5156458902
12;12;  -3045.6203066188;  -3027.9875454600;  -3175.9097680003
13;13;  -3032.8668243460;  -3029.7253440400;  -3056.0793985604
14;14;  -3048.1562440895;  -3028.5574351900;  -3192.9729425204
15;15;  -2993.8030672957;  -3026.7861274000;  -2750.0893858705
16;16;  -3005.9412980545;  -3028.9273196600;  -2836.0962949204
17;17;  -3043.7931880531;  -3029.3205751300;  -3150.7321368403
18;18;  -3002.1838389236;  -3027.4089834600;  -2815.7938308403
19;19;  -3026.8763531087;  -3028.2444428300;  -3016.7674614101
20;20;  -3005.3930368600;  -3027.4086068600;  -2842.7187550803
21;21;  -3020.6129855496;  -3028.9407607100;  -2959.0785877104
22;22;  -3001.0708512858;  -3027.3823915100;  -2806.6534045203
23;23;  -3019.3180141433;  -3028.3496402400;  -2952.5828222504
24;24;  -2994.8829428853;  -3026.8543296000;  -2758.6445728901
25;25;  -3037.2088829799;  -3030.3043402700;  -3088.2269364007
26;26;  -3041.8393869484;  -3029.0991566400;  -3135.9776634102
27;27;  -3026.8335528777;  -3027.7901590400;  -3019.7651362801
28;28;  -3037.4141288446;  -3029.3570634700;  -3096.9482368902
29;29;  -3035.5840856554;  -3029.0631039400;  -3083.7679853704
30;30;  -3044.7040494846;  -3028.8085344400;  -3162.1569018705
31;31;  -3056.2540534719;  -3029.5665705000;  -3253.4493622905
32;32;  -3007.2125617051;  -3027.4013496500;  -2858.0364750106
33;33;  -3039.8364803991;  -3029.8002336500;  -3113.9948706508
34;34;  -3020.4454612403;  -3028.7405822300;  -2959.1523469004
35;35;  -3026.6930548705;  -3027.5231285400;  -3020.5595939605
36;36;  -3021.7815657301;  -3026.4412458000;  -2987.3509282903
37;37;  -3019.4187664129;  -3027.8673091600;  -2956.9920101004
38;38;  -3058.1886584451;  -3028.2186413400;  -3279.6387961204
39;39;  -3021.5146289323;  -3029.3463738300;  -2963.6454265304
40;40;  -3045.9911551894;  -3028.5629997800;  -3174.7687732106
41;41;  -3045.9594305438;  -3029.0872939600;  -3170.6285942705
42;42;  -3041.8514776392;  -3027.5873471400;  -3147.2499381003
43;43;  -3045.9152189364;  -3027.5995072200;  -3181.2510403004
44;44;  -3057.5671231209;  -3028.6590260000;  -3271.1706744604
45;45;  -3003.2021913920;  -3026.0835222600;  -2834.1307539903
46;46;  -3036.2698584170;  -3027.7751368500;  -3099.0378326205
47;47;  -3037.0298450762;  -3028.6727550600;  -3098.7808520301
48;48;  -3035.4443164333;  -3029.9051099800;  -3076.3738236604
49;49;  -3017.9672108195;  -3027.4436773400;  -2947.9450680803
50;50;  -3049.1458771437;  -3028.4595896300;  -3201.9980160607
51;51;  -3033.2510086581;  -3028.4943677000;  -3068.3980955404
52;52;  -3022.8025808081;  -3028.5393869400;  -2980.4129984705
53;53;  -3037.9938392478;  -3030.8336097700;  -3090.9011765405
54;54;  -3020.2740768471;  -3029.2859159000;  -2953.6850925303
55;55;  -3048.5952221715;  -3030.3844592300;  -3183.1555711508
56;56;  -3031.2329781034;  -3027.4041663800;  -3059.5242827202
57;57;  -3031.4221068526;  -3026.6147208100;  -3066.9441520103
58;58;  -3048.4824857491;  -3029.0167900100;  -3192.3156035704
59;59;  -3027.1883950303;  -3029.3903082100;  -3010.9183350202
60;60;  -3030.0832008958;  -3028.0596606000;  -3045.0352536603
61;61;  -3035.4982310052;  -3028.9421897400;  -3083.9411877006
62;62;  -3050.7617029048;  -3029.2740349700;  -3209.5352867101
63;63;  -3033.5525994217;  -3027.9483047900;  -3074.9630468504
64;64;  -3069.5682500101;  -3028.7926152800;  -3370.8617025005
65;65;  -3047.5042264965;  -3027.3592355300;  -3196.3566948605
66;66;  -3059.9015016230;  -3030.0801451700;  -3280.2531774006
67;67;  -3037.9803596902;  -3027.4013156900;  -3116.1495092805
68;68;  -3047.8858526176;  -3027.7151163900;  -3196.9285541605
69;69;  -3010.0967583204;  -3028.4786989000;  -2874.2715681706
70;70;  -3047.8352219211;  -3028.7374251200;  -3188.9499138503
71;71;  -3018.6140434081;  -3027.6094056300;  -2952.1468073204
72;72;  -3057.7985157954;  -3028.7173341400;  -3272.6809984703
73;73;  -3035.9171868637;  -3029.1351750200;  -3086.0298528406
74;74;  -3048.5557006482;  -3028.8646905200;  -3194.0536791304
75;75;  -3046.9212459742;  -3029.0731901400;  -3178.8015317903
76;76;  -3032.9494295835;  -3027.6214282800;  -3072.3183301104
77;77;  -3006.7329957921;  -3027.8602909800;  -2850.6222264304
78;78;  -3023.1062360891;  -3028.7100744000;  -2981.6991604405
79;79;  -3028.8408556272;  -3027.5110137500;  -3038.6671318602
80;80;  -3018.7013249028;  -3028.4944404000;  -2946.3394451103
81;81;  -3021.7678025216;  -3027.7327684700;  -2977.6923345006
82;82;  -3037.8168839417;  -3028.1671655400;  -3109.1191945506
83;83;  -3022.2155915300;  -3027.1959066700;  -2985.4157635705
84;84;  -3033.2678295933;  -3028.2405638100;  -3070.4145784905
85;85;  -3012.4888833118;  -3028.3250693800;  -2895.4744160606
86;86;  -3011.0092499643;  -3030.2666704100;  -2868.7150899705
87;87;  -3043.4432758783;  -3029.0586212000;  -3149.7322962602
88;88;  -3042.4095343698;  -3026.8875278300;  -3157.1025114604
89;89;  -3031.3027631344;  -3028.7225546300;  -3050.3680685203
90;90;  -3046.9377675211;  -3028.7183814200;  -3181.5618335106
91;91;  -3042.1246596851;  -3028.3660928500;  -3143.7874818703
92;92;  -3045.3166789319;  -3028.7304063800;  -3167.8735772903
93;93;  -3017.1736913009;  -3027.5827655400;  -2940.2604578103
94;94;  -3027.9457446454;  -3028.7705614600;  -3021.8511269308
95;95;  -3056.9231135614;  -3028.2815648500;  -3268.5571237504
96;96;  -3033.8238187104;  -3029.7766671000;  -3063.7284490003
97;97;  -3030.3245913368;  -3028.2883316100;  -3045.3706286903
98;98;  -3026.1115030217;  -3028.6083055800;  -3007.6624888506
99;99;  -3042.3790492681;  -3029.3019729300;  -3139.0062999403
100;100;  -3016.3545279870;  -3027.9972863400;  -2930.3255333702
101;101;  -3051.9867619974;  -3031.4522654200;  -3203.7173091708
102;102;  -3021.3696920525;  -3028.8435210900;  -2966.1451500207
103;103;  -3033.6643133956;  -3026.6656991000;  -3085.3774670403
104;104;  -3052.1840641708;  -3028.8853530100;  -3224.3395479707
105;105;  -3050.2804334579;  -3029.5931489000;  -3203.1399395906
106;106;  -3060.3072824181;  -3027.2299931500;  -3304.7172284207
107;107;  -3008.7026144808;  -3028.0814431300;  -2865.5113624605
108;108;  -3032.7235324659;  -3029.5034641600;  -3056.5167978205
109;109;  -3036.2214099298;  -3029.0016394400;  -3089.5686991006
110;110;  -3007.4312122953;  -3027.2324153700;  -2861.1190119504
111;111;  -3036.9965894355;  -3028.3664858700;  -3100.7649088204
112;112;  -3039.9458481088;  -3029.5412321900;  -3116.8261388207
113;113;  -3031.5041673833;  -3029.1227334300;  -3049.1007164603
114;114;  -3016.6219369197;  -3027.0785609600;  -2939.3573552803
115;115;  -2996.4583120255;  -3027.3853406400;  -2767.9367626202
116;116;  -3050.7292384869;  -3028.5218461100;  -3214.8209065705
117;117;  -3018.1437234859;  -3026.7080263100;  -2954.8616094703
118;118;  -3006.3869270651;  -3028.7122711600;  -2841.4237071204
119;119;  -3034.3870287754;  -3027.0902502000;  -3088.3033350104
120;120;  -3025.9112197072;  -3030.6442058300;  -2990.9389197305
121;121;  -3062.3709306640;  -3028.8097172700;  -3310.3566191806
122;122;  -3017.6372946370;  -3027.2686440900;  -2946.4707132203
123;123;  -3036.0549659543;  -3028.6230985600;  -3090.9694510504
124;124;  -3016.5798748531;  -3028.4051162700;  -2929.2025026404
