#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -2987.9392349728;  -3000.9772924799;  -2987.0333057400
2;1;  -2990.1643991669;  -3003.8873305999;  -2989.2108825300
3;2;  -2995.9685659876;  -3001.4718819698;  -2995.5861766000
4;3;  -3005.0981170206;  -3000.8682062398;  -3005.3920258200
5;4;  -3005.4043400280;  -3001.2583560998;  -3005.6924173000
6;5;  -3006.8294657319;  -3001.9315367698;  -3007.1697907400
7;9;  -3006.8866430541;  -3003.5359580798;  -3007.1194602100
8;10;  -3019.7379023299;  -2998.3995601198;  -3021.2205639900
9;15;  -3019.5030466508;  -2997.7848849498;  -3021.0120994800
10;18;  -3020.9898922180;  -2997.8459398998;  -3022.5980139000
11;55;  -3021.4106259819;  -2998.7081763997;  -3022.9880705300
12;123;  -3039.3826328953;  -2992.5472711297;  -3042.6369154701
13;287;  -2985.2262276460;  -3004.4599747099;  -2983.8898005200
14;288;  -2987.3330341051;  -3003.6322380899;  -2986.2005091600
15;291;  -2990.1928085471;  -2999.9760251999;  -2989.5130368900
16;300;  -2998.6351135840;  -3001.7784095798;  -2998.4167065300
17;307;  -3000.8950908556;  -3002.7367084398;  -3000.7671289100
18;308;  -3008.8924224379;  -3001.0145480298;  -3009.4398043400
19;311;  -2976.4309541473;  -2996.4928663399;  -2975.0369832500
20;312;  -2978.2048778746;  -2996.3570278099;  -2976.9436038500
21;316;  -2978.9678380338;  -2997.3086050998;  -2977.6934582400
22;318;  -2980.6325832561;  -3002.1504567899;  -2979.1374471400
23;320;  -2985.6282945063;  -2996.9086261899;  -2984.8444981300
24;321;  -2985.4190436647;  -3001.5273026099;  -2984.2997862400
25;329;  -2985.2302730582;  -3002.0082058999;  -2984.0644843800
26;330;  -2996.3105682910;  -3002.4435174099;  -2995.8844298200
27;331;  -2997.9695158945;  -3002.8542390699;  -2997.6301084700
28;333;  -2998.3466508107;  -3001.5832895598;  -2998.1217579800
29;334;  -3000.0814680305;  -3004.8774064098;  -2999.7482296800
30;338;  -3001.3449916175;  -3008.6724813798;  -3000.8358523400
31;340;  -3001.5092835237;  -3005.3733849598;  -3001.2407924200
32;343;  -3006.6298622147;  -3003.4747292797;  -3006.8490917400
33;345;  -3006.8150102102;  -3000.5516961098;  -3007.2502068900
34;348;  -3007.5040902772;  -3003.4594802598;  -3007.7851237400
35;350;  -2983.6062853003;  -3005.3133229299;  -2982.0980054100
36;351;  -2984.5236451543;  -3006.2039253899;  -2983.0172244600
37;353;  -2986.1278624636;  -3005.2669060799;  -2984.7980156600
38;360;  -2986.8092371682;  -3004.5188542999;  -2985.5787118500
39;362;  -2987.1103498573;  -3008.9331462299;  -2985.5940266500
40;364;  -2991.0625026866;  -3005.8051934798;  -2990.0381296500
41;366;  -2995.5453966972;  -3002.6909654398;  -2995.0488979200
42;368;  -2971.4106800852;  -2998.3753489699;  -2969.5370818300
43;369;  -2976.3832516785;  -3002.7487123199;  -2974.5512884800
44;370;  -2981.9100816266;  -3003.6735904899;  -2980.3978779200
45;371;  -2984.2678431912;  -3000.6724966899;  -2983.1279912500
46;374;  -2993.2096864168;  -3004.9256802599;  -2992.3956187300
47;375;  -2998.4906512601;  -3005.3392782598;  -2998.0147850200
48;381;  -2998.9724342108;  -3004.1194664098;  -2998.6148006500
49;386;  -3007.5360930269;  -3000.9447672498;  -3007.9940810900
50;400;  -3010.4104798287;  -2999.0756434398;  -3011.1980633800
51;402;  -3010.0308506328;  -3000.8393021998;  -3010.6695111400
52;413;  -3010.4104798287;  -2999.0756434398;  -3011.1980633800
53;418;  -3019.7379023299;  -2998.3995601198;  -3021.2205639900
54;430;  -3020.1197032068;  -3001.3278806898;  -3021.4254238900
55;437;  -3021.4106259819;  -2998.7081763997;  -3022.9880705300
56;508;  -3039.3826328953;  -2992.5472711297;  -3042.6369154701
57;712;  -2974.4789711159;  -2998.1925779800;  -2972.8312678700
58;714;  -2981.9630781936;  -3002.1934458399;  -2980.5574024300
59;716;  -2984.2962389574;  -2999.8377995499;  -2983.2163576900
60;718;  -2987.2589188654;  -3000.0352940998;  -2986.3711722200
61;723;  -2987.5229817828;  -3002.8375501299;  -2986.4588727200
62;724;  -2991.6057727519;  -3000.1290249998;  -2991.0135477700
63;726;  -2992.8735869181;  -3006.5536848598;  -2991.9230465000
64;727;  -2998.6715257536;  -3004.0795196999;  -2998.2957596700
65;732;  -3006.1299234828;  -3001.0955984598;  -3006.4797257600
66;735;  -3006.6298622147;  -3003.4747292797;  -3006.8490917400
67;742;  -3019.7379023299;  -2998.3995601198;  -3021.2205639900
68;768;  -3020.0927432434;  -2997.2986330098;  -3021.6765566900
69;775;  -3020.5609311072;  -2997.1830476798;  -3022.1853071300
70;780;  -3021.4106259819;  -2998.7081763997;  -3022.9880705300
71;799;  -3039.3826328953;  -2992.5472711297;  -3042.6369154701
72;939;  -2981.7259226551;  -3001.4985204599;  -2980.3520543200
73;943;  -2984.2255918411;  -3002.7690471299;  -2982.9371285700
74;944;  -2984.3859573916;  -3000.7812542799;  -2983.2467555800
75;946;  -2990.7690752928;  -3000.6420269199;  -2990.0830685400
76;947;  -2995.2493585870;  -3000.3560989799;  -2994.8945246400
77;953;  -3000.5495578206;  -2999.5340488298;  -3000.6201188900
78;961;  -3006.0449950391;  -3000.8348496798;  -3006.4070139200
79;964;  -3006.0684069004;  -3001.2151715798;  -3006.4056264400
80;980;  -3007.8612612098;  -2998.8422648998;  -3008.4879322000
81;987;  -2988.8413111175;  -3001.3786334899;  -2987.9701746900
82;988;  -2989.5644712955;  -2999.7185487499;  -2988.8589309500
83;991;  -2992.3760712255;  -2999.0308155899;  -2991.9136766200
84;994;  -2994.0280336101;  -3004.8929926298;  -2993.2730987600
85;996;  -2997.9364458567;  -3004.9793763398;  -2997.4470787400
86;999;  -2999.7768802931;  -3006.0652237099;  -2999.3399444900
87;1000;  -2980.5442562870;  -2997.1403567499;  -2979.3911019500
