        T             E               F          S             
       1.0      -3088.6527      -3088.6528  0.119462E-03
     300.0      -3088.6527      -3088.6885  0.119462E-03
    1000.0      -3088.6527      -3088.7721  0.119462E-03
  Infinite      -3088.6527         -        0.119462E-03
