        T             E               F          S             
       1.0      -2933.5449      -2933.5451  0.179245E-03
     300.0      -2933.5219      -2933.6431  0.404054E-03
    1000.0      -2933.4882      -2933.9581  0.469919E-03
  Infinite      -2933.4565         -        0.484329E-03
