 Configuration with minimum energy:           25
 Configuration with maximum energy:            6

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        14         8  0.215849E+00      0.0290      0.0036
        15         8  0.100442E+00      0.0290      0.0036
        16         4  0.203330E+00      0.0145      0.0036
        17         4  0.896126E-01      0.0145      0.0036
        18         4  0.902253E-01      0.0145      0.0036
        19         4  0.103219E+00      0.0145      0.0036
        20         4  0.730565E-01      0.0145      0.0036
        21         4  0.762447E-01      0.0145      0.0036
        22         4  0.129659E+00      0.0145      0.0036
        23         8  0.914508E-01      0.0290      0.0036
        24         8  0.667621E-01      0.0290      0.0036
        25         8  0.000000E+00      0.0290      0.0036
        26         8  0.167463E+00      0.0290      0.0036
        27         8  0.547952E-01      0.0290      0.0036
        28         8  0.205136E-01      0.0290      0.0036
        29         8  0.843590E-03      0.0290      0.0036
        30         8  0.691061E-01      0.0290      0.0036
        31         8  0.156068E+00      0.0290      0.0036
        32         8  0.934215E-01      0.0290      0.0036
        33         8  0.293555E-01      0.0290      0.0036
        34         8  0.354273E-01      0.0290      0.0036
        35         8  0.591802E-01      0.0290      0.0036
        36         8  0.223282E-01      0.0290      0.0036
        37         8  0.865231E-01      0.0290      0.0036
        38         8  0.131610E-01      0.0290      0.0036
        39         4  0.465982E-01      0.0145      0.0036
        40         4  0.159759E-01      0.0145      0.0036
        41         4  0.156018E+00      0.0145      0.0036
        42         4  0.335758E-01      0.0145      0.0036
        43         4  0.278564E-01      0.0145      0.0036
        44         4  0.525432E-01      0.0145      0.0036
        45         4  0.470775E-01      0.0145      0.0036
