        T             E               F          S             
       1.0      -2926.0825      -2926.0826  0.119462E-03
     300.0      -2926.0731      -2926.1504  0.257696E-03
    1000.0      -2926.0662      -2926.3374  0.271199E-03
  Infinite      -2926.0605         -        0.273864E-03
