        T             E               F          S             
       1.0      -3082.1822      -3082.1823  0.179193E-03
     300.0      -3082.1773      -3082.2591  0.272674E-03
    1000.0      -3082.1768      -3082.4505  0.273758E-03
  Infinite      -3082.1765         -        0.273864E-03
