 Configuration with minimum energy:            1
 Configuration with maximum energy:            2

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      1.0000      0.2500
         2         4  0.153659E+00      0.0000      0.0000
         3         8  0.328700E-01      0.0000      0.0000
         4         8  0.900125E-01      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      0.6154      0.1538
         2         4  0.153659E+00      0.0016      0.0004
         3         8  0.328700E-01      0.3451      0.0431
         4         8  0.900125E-01      0.0378      0.0047


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      0.3089      0.0772
         2         4  0.153659E+00      0.0519      0.0130
         3         8  0.328700E-01      0.4218      0.0527
         4         8  0.900125E-01      0.2174      0.0272


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      0.1667      0.0417
         2         4  0.153659E+00      0.1667      0.0417
         3         8  0.328700E-01      0.3333      0.0417
         4         8  0.900125E-01      0.3333      0.0417
