        T             E               F          S             
       1.0      -3068.4543      -3068.4545  0.179193E-03
     300.0      -3068.4068      -3068.5435  0.455946E-03
    1000.0      -3068.3256      -3068.9394  0.613822E-03
  Infinite      -3068.2249         -        0.656024E-03
