 Configuration with minimum energy:            7
 Configuration with maximum energy:           14

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        20         8  0.557807E-01      0.0290      0.0036
        21         8  0.113113E+00      0.0290      0.0036
        22         8  0.153475E+00      0.0290      0.0036
        23         8  0.357464E-01      0.0290      0.0036
        24         4  0.186800E+00      0.0145      0.0036
        25         4  0.405020E-01      0.0145      0.0036
        26         4  0.246133E+00      0.0145      0.0036
        27         4  0.769062E-01      0.0145      0.0036
        28         4  0.540878E-01      0.0145      0.0036
        29         4  0.789034E-01      0.0145      0.0036
        30         4  0.956369E-01      0.0145      0.0036
        31         8  0.221473E+00      0.0290      0.0036
        32         8  0.164781E+00      0.0290      0.0036
        33         8  0.993367E-01      0.0290      0.0036
        34         8  0.988268E-01      0.0290      0.0036
        35         8  0.824341E-01      0.0290      0.0036
        36         8  0.116401E+00      0.0290      0.0036
        37         8  0.145081E+00      0.0290      0.0036
        38         8  0.907767E-01      0.0290      0.0036
        39         4  0.148510E+00      0.0145      0.0036
        40         4  0.953659E-01      0.0145      0.0036
        41         4  0.248815E+00      0.0145      0.0036
        42         4  0.764480E-01      0.0145      0.0036
        43         4  0.113957E+00      0.0145      0.0036
        44         4  0.210694E+00      0.0145      0.0036
        45         4  0.579478E-01      0.0145      0.0036
