        T             E               F          S             
       1.0      -3075.4463      -3075.4464  0.119462E-03
     300.0      -3075.3993      -3075.5153  0.386633E-03
    1000.0      -3075.3594      -3075.8302  0.470796E-03
  Infinite      -3075.3290         -        0.484329E-03
